Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,1559603.0,1281491.0,1000000.0,1364593.0,1000000.0,1441397.0,1000000.0,1853671.0,2000000.0,1451873.0,1000000.0,1095869.0,888261.0
Stock-based compensation,759504.0,844339.0,1000000.0,785827.0,1000000.0,706161.0,1000000.0,1032981.0,1000000.0,933440.0,1000000.0,894713.0,870099.0
Operating Cash Flow,-2598115.0,-4675380.0,-3000000.0,-4563758.0,-4000000.0,-3901618.0,-3000000.0,-5254730.0,-5000000.0,-8740833.0,-9000000.0,-5110267.0,-3603770.0
Capital Expenditure,783483.0,596381.0,-1000000.0,1265095.0,-1000000.0,1129269.0,-1000000.0,1509160.0,-2000000.0,1230397.0,-1000000.0,1565333.0,1111732.0
Acquisitions and disposals,-0.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0000000.0,-0.0,-0.0
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Investing Cash flow,-898317.0,5054863.0,4000000.0,2380324.0,2000000.0,-285459.0,-1000000.0,-1615237.0,-2000000.0,246483.0,0000000.0,-436621.0,-3752433.0
Issuance (repayment) of debt,-0.0,-0.0,-1000000.0,-7280000.0,-8000000.0,-220000.0,-1000000.0,-291312.0,-5000000.0,-11500.0,000000.0,-147931.0,-0.0
Issuance (buybacks) of shares,-3213354.0,-5634102.0,,-5446285.0,,1149258.0,,-4372390.0,,-2239244.0,,-9192481.0,-11328569.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,1115435.0,-215193.0,-0000000.0,143848.0,0000000.0,7220706.0,7000000.0,3174328.0,3000000.0,7439558.0,7000000.0,3404682.0,13883862.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-2380997.0,164290.0,0000000.0,-2039586.0,-2000000.0,3033629.0,3000000.0,-3695639.0,-4000000.0,-1054792.0,-1000000.0,-2142206.0,6894610.0
Free Cash Flow,-3381598.0,-5271761.0,-4000000.0,-5828853.0,-5000000.0,-5030887.0,-4000000.0,-6763890.0,-7000000.0,-9971230.0,-10000000.0,-6675600.0,-4715502.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
