Date,2019-05-26,2018-05-27,2017-05-28,2016-05-29,2016-05-28,2016-05-27,2015-05-31,2015-05-28,2015-05-13,2014-05-25,2014-05-13,2013-05-28,2013-05-13
Revenue,3756500000.0,3423700000.0,3168000000.0,2994000000.0,2993800000.0,,,2925000000.0,,2815200000.0,,2778400000.0,
Revenue Growth,0.0972047784560563,0.0807133838383838,0.0581162324649299,0.0000668047297748681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,2753000000.0,2544200000.0,2381500000.0,2236000000.0,2332000000.0,,,2337700000.0,,2229500000.0,,2086700000.0,
Gross Profit,1003500000.0,879500000.0,786500000.0,662000000.0,661800000.0,587300000.0,691700000.0,661800000.0,585700000.0,587300000.0,585700000.0,587300000.0,691700000.0
R&D Expenses,15400000.0,13500000.0,10600000.0,7000000.0,0.0,,,0.0,,0.0,,0.0,
SG&A Expense,335100000.0,299400000.0,268200000.0,285000000.0,288500000.0,,,205900000.0,,222000000.0,,262900000.0,
Operating Expenses,350500000.0,312900000.0,278800000.0,2612500000.0,288500000.0,205900000.0,262900000.0,288500000.0,222000000.0,2548200000.0,222000000.0,205900000.0,262900000.0
Operating Income,668400000.0,580100000.0,518300000.0,377000000.0,373300000.0,381400000.0,428800000.0,373300000.0,363700000.0,376800000.0,363700000.0,381400000.0,428800000.0
Interest Expense,0.0,0.0,0.0,-5900000.0,5900000.0,6100000.0,5300000.0,5900000.0,5300000.0,-6100000.0,5300000.0,6100000.0,5300000.0
Earnings before Tax,620800000.0,554900000.0,510400000.0,367000000.0,429800000.0,,,408700000.0,,378600000.0,,450200000.0,
Income Tax Expense,133600000.0,121200000.0,170200000.0,-145000000.0,144500000.0,,,140400000.0,,117700000.0,,151900000.0,
Net Income - Non-Controlling int,0.0,0.0,0.0,9300000.0,9300000.0,9400000.0,,9300000.0,9000000.0,9300000.0,9000000.0,9400000.0,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Net Income,478600000.0,416800000.0,326900000.0,285300000.0,268300000.0,,,260900000.0,,298300000.0,,,
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Net Income Com,478600000.0,416800000.0,326900000.0,281000000.0,285300000.0,,,268300000.0,,260900000.0,,298300000.0,
EPS,3.19,2.83,2.22,1.92,1.92,,,1.83,,,,,
EPS Diluted,3.18,2.82,2.22,1.92,1.92,,,1.83,,,,,
Weighted Average Shs Out,146500000.0,146300000.0,146100000.0,146000000.0,146058934.0,,,146058934.0,,,,,
Weighted Average Shs Out (Dil),147300000.0,147000000.0,146600000.0,146058934.0,146058934.0,,,,,,,,
Dividend per Share,0.769178547183,0.749659863946,0.18690313779,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Gross Margin,0.267136962598,0.256885825277,0.248263888889,0.2211,0.2211,,,0.2008,,0.208,,0.249,
EBITDA Margin,0.221163316917,0.211291877209,0.198042929293,0.178,0.178,0.164,,0.175,0.192,0.175,0.192,0.164,
EBIT Margin,0.177931585252,0.169436574466,0.16360479798,0.1274,0.1455,,,0.1418,,0.1364,,0.1639,
Profit Margin,0.127405829895,0.121739638403,0.103188131313,0.095,0.095,0.093,,0.092,0.107,0.092,0.107,0.093,
Free Cash Flow margin,0.0922933581792,0.0509390425563,0.0503472222222,0.0768,0.0817,,,0.0757,,0.0712,,,
EBITDA,830800000.0,723400000.0,627400000.0,531600000.0,511200000.0,,,463100000.0,,533400000.0,,,
EBIT,668400000.0,580100000.0,518300000.0,381300000.0,435700000.0,414800000.0,455500000.0,435700000.0,383900000.0,376800000.0,383900000.0,414800000.0,455500000.0
Consolidated Income,478600000.0,416800000.0,326900000.0,294600000.0,277600000.0,,,270300000.0,,307300000.0,,,
Earnings Before Tax Margin,0.165260215626,0.162076116482,0.161111111111,0.1226,0.1436,,,0.1397,,0.1345,,0.162,
Net Profit Margin,0.127405829895,0.121739638403,0.103188131313,0.0953,0.0917,,,0.0927,,0.1074,,,
