Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12-31,2012-12,2011-12-31,2010-12-31
Revenue,0.0,0.0,124000000.0,0.0,275000000.0,496000000.0,455000000.0,0.0,389000000.0,0.0,0.0
Revenue Growth,0.0,-1,0.0,-1,-0.445564516129032,0.0901098901098901,0.0,-1,0.0,0.0,0.0
Cost of Revenue,0.0,312719000.0,88000000.0,395691000.0,185000000.0,261000000.0,242000000.0,225134000.0,231000000.0,241903000.0,0.0
Gross Profit,0.0,-312719000.0,36000000.0,-395691000.0,90000000.0,235000000.0,213000000.0,-225134000.0,158000000.0,-241903000.0,0.0
R&D Expenses,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
SG&A Expense,0.0,37663000.0,38000000.0,47280000.0,47000000.0,63000000.0,55000000.0,54600000.0,55000000.0,45495000.0,0.0
Operating Expenses,0.0,42325000.0,96000000.0,62667000.0,120000000.0,138000000.0,118000000.0,113066000.0,114000000.0,61427000.0,0.0
Operating Income,0.0,-231325000.0,-60000000.0,-183552000.0,-30000000.0,97000000.0,95000000.0,51005000.0,43000000.0,78540000.0,0.0
Interest Expense,0.0,33486000.0,33000000.0,36946000.0,37000000.0,29000000.0,24000000.0,23244000.0,23000000.0,22314000.0,0.0
Earnings before Tax,0.0,-242437000.0,-242000000.0,-220868000.0,-221000000.0,72000000.0,76000000.0,21942000.0,22000000.0,54628000.0,0.0
Income Tax Expense,0.0,-39458000.0,-39000000.0,-5633000.0,-6000000.0,9000000.0,5000000.0,2669000.0,3000000.0,4694000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
Net Income,0.0,-202979000.0,-203000000.0,-215235000.0,-215000000.0,62000000.0,71000000.0,19273000.0,19000000.0,49934000.0,0.0
Preferred Dividends,0.0,0.0,,0.0,,,,42000.0,,0.0,0.0
Net Income Com,0.0,-202979000.0,-203000000.0,-215235000.0,-215000000.0,62000000.0,71000000.0,19273000.0,19000000.0,49934000.0,0.0
EPS,0.0,-8.09,-8.09,-8.7,-8.70,2.39,2.70,0.73,0.73,1.92,0.0
EPS Diluted,0.0,-8.09,-8.09,-8.7,-8.70,2.39,2.70,0.73,0.73,1.91,0.0
Weighted Average Shs Out,0.0,25094000.0,25000000.0,24729000.0,25000000.0,26000000.0,26000000.0,26208000.0,26000000.0,25828000.0,0.0
Weighted Average Shs Out (Dil),0.0,25094000.0,25000000.0,24729000.0,25000000.0,26000000.0,26000000.0,26228000.0,26000000.0,25962000.0,0.0
Dividend per Share,0.0,0.000199250816928,,0.0,,,,1.01467896904,,0.0,0.0
Gross Margin,0.0,0.0,0.29032258064516,0.0,0.32727272727273,0.47379032258065,0.46813186813187,0.0,0.40616966580977,0.0,0.0
EBITDA Margin,0.0,0.0,-1.2177419354839,0.0,-0.40363636363636,0.35483870967742,0.35824175824176,0.0,0.26992287917738,0.0,0.0
EBIT Margin,0.0,0.0,-1.6854838709677,0.0,-0.66909090909091,0.20161290322581,0.21978021978022,0.0,0.11568123393316,0.0,0.0
Profit Margin,0.0,0.0,-1.6370967741935,0.0,-0.78181818181818,0.125,0.15604395604396,0.0,0.048843187660668,0.0,0.0
Free Cash Flow margin,0.0,0.0,,0.0,,,,0.0,,0.0,0.0
EBITDA,0.0,-169889000.0,-151000000.0,-108567000.0,-111000000.0,176000000.0,163000000.0,113477000.0,105000000.0,139811000.0,0.0
EBIT,0.0,-231325000.0,-209000000,-183552000.0,-184000000,100000000,100000000,51005000.0,45000000,78540000.0,0.0
Consolidated Income,0.0,-202979000.0,-203000000.0,-215235000.0,-215000000.0,62000000.0,71000000.0,19273000.0,19000000.0,49934000.0,0.0
Earnings Before Tax Margin,0.0,0.0,-1.9516129032258,0.0,-0.80363636363636,0.14516129032258,0.16703296703297,0.0,0.056555269922879,0.0,0.0
Net Profit Margin,0.0,0.0,-1.6370967741935,0.0,-0.78181818181818,0.125,0.15604395604396,0.0,0.048843187660668,0.0,0.0
