Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Revenue,1.000646e+11,,1.002875e+11,,1.017518e+11,,1.008871e+11,,1.040988e+11,,93858100000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,91302500000.0,,91667000000.0,,93349900000.0,,92962000000.0,,95966400000.0,,86527900000.0
Gross Profit,8762100000.0,,8620500000.0,,8401900000.0,,7925100000.0,,8132400000.0,,7330200000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
SG&A Expense,3268100000.0,,3532700000.0,,4062600000.0,,4322700000.0,,4580700000.0,,4545700000.0
Operating Expenses,3268100000.0,,3532700000.0,,4062600000.0,,4322700000.0,,4580700000.0,,4545700000.0
Operating Income,5494000000.0,,5087800000.0,,4339300000.0,,3602400000.0,,3551700000.0,,2784500000.0
Interest Expense,0.0,608000000.0,0.0,695000000.0,0.0,500000000.0,582900000.0,583000000.0,596100000.0,596000000.0,619000000.0
Earnings before Tax,4929000000.0,,4427100000.0,,3863800000.0,,3066200000.0,,3030300000.0,,2191000000.0
Income Tax Expense,397300000.0,,999500000.0,,1364300000.0,,1031200000.0,,1104000000.0,,833300000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income,4517400000.0,4517000000.0,3404400000.0,3404000000.0,2476400000.0,2476000000.0,2007600000.0,2008000000.0,1844600000.0,1845000000.0,1312900000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Income Com,4517400000.0,4517000000.0,3404400000.0,3404000000.0,2476400000.0,2476000000.0,2007600000.0,2008000000.0,1844600000.0,1845000000.0,1312900000.0
EPS,7.79,7.79,5.43,5.43,3.59,3.59,2.68,2.68,2.28,2.28,1.8
EPS Diluted,7.74,7.74,5.39,5.39,3.56,3.56,2.64,2.64,2.25,2.25,1.76
Weighted Average Shs Out,580100000.0,580000000.0,626900000.0,627000000.0,689000000.0,689000000.0,750300000.0,750000000.0,808600000.0,809000000.0,731300000.0
Weighted Average Shs Out (Dil),583400000.0,583000000.0,631400000.0,631000000.0,695300000.0,695000000.0,759100000.0,759000000.0,821600000.0,822000000.0,747300000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Gross Margin,0.087564433376,,0.0859578711205,,0.082572495032,,0.0785541461693,,0.078121938005,,0.0780987469382
EBITDA Margin,0.0729128982677,,0.0722163779135,,0.065830776458,,0.0579390229276,,0.0576250638816,,0.0500830509034
EBIT Margin,0.0549045316725,,0.0507321450829,,0.0426459286224,,0.0357072410645,,0.034118548917,,0.0296671251602
Profit Margin,0.0451448364357,,0.0339464040882,,0.0243376529948,,0.0198994717858,,0.017719704742,,0.0139881374117
Free Cash Flow margin,0.0508061792082,,0.0457584444721,,0.0447402404675,,0.0407623967782,,0.0416383282036,,0.0492381584541
EBITDA,7296000000.0,7339000000.0,7242400000.0,7276000000.0,6698400000.0,6723000000.0,5845300000.0,5892000000.0,5998700000.0,6073000000.0,4700700000.0
EBIT,5494000000.0,5125000000,5087800000.0,4099000000,4339300000.0,2976000000,3602400000.0,2591000000,3551700000.0,2441000000,2784500000.0
Consolidated Income,4517400000.0,4517000000.0,3404400000.0,3404000000.0,2476400000.0,2476000000.0,2007600000.0,2008000000.0,1844600000.0,1845000000.0,1312900000.0
Earnings Before Tax Margin,0.0492581792162,,0.0441440857535,,0.0379727926189,,0.0303923891162,,0.0291098456466,,0.0233437497669
Net Profit Margin,0.0451448364357,,0.0339464040882,,0.0243376529948,,0.0198994717858,,0.017719704742,,0.0139881374117
