Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,2946307.0,3211007.0,4025685.0,3157720.0,4126378.0,2410607.0
Revenue Growth,-0.0824351986775488,-0.202370031435644,0.274870792850538,-0.234747761838591,0.71175890553707,
Cost of Revenue,1843051.0,2220431.0,2295871.0,1179771.0,951737.0,1822586.0
Gross Profit,1103256.0,990576.0,1729814.0,1977949.0,3174641.0,588021.0
R&D Expenses,5677243.0,6883293.0,8613236.0,6002941.0,4368302.0,4151936.0
SG&A Expense,8600871.0,9460329.0,12131882.0,10140086.0,4371020.0,5815599.0
Operating Expenses,14283498.0,16256367.0,20739151.0,18216883.0,8739322.0,10918416.0
Operating Income,-13180242.0,-15265791.0,-19009337.0,-15059163.0,-5564681.0,-10330395.0
Interest Expense,191195.0,233505.0,143347.0,1801320.0,111345.0,31598.0
Earnings before Tax,-13368098.0,-15419308.0,-19166753.0,-17481168.0,-5671470.0,-10134821.0
Income Tax Expense,0.0,0.0,0.0,-129095.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-13368098.0,-15419308.0,-19166753.0,-17352073.0,-5671470.0,-10134821.0
Preferred Dividends,0.0,0.0,332550.0,0.0,627133.0,5372978.0
Net Income Com,-13368098.0,-15419308.0,-19166753.0,-17352073.0,-6298603.0,-15507799.0
EPS,-2.22,-9.8,-1.1,-2.2,-8125.0,-448045.0
EPS Diluted,-2.22,-9.8,-1.1,-2.2,-8125.0,-448045.0
Weighted Average Shs Out,6009065.0,1573769.0,17667557.0,7980995.0,21437.0,
Weighted Average Shs Out (Dil),6009065.0,1573769.0,17667557.0,7980995.0,775.0,35.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.374453850193,0.308493877466,0.429694325314,0.626385176646,0.7694,0.2439
EBITDA Margin,-4.22541099756,-4.54583344104,-4.55904771486,-4.57118110535,-1.208,-3.917
EBIT Margin,-4.47347883299,-4.75420670213,-4.72201302387,-4.7689988346,-1.3475,-4.1912
Profit Margin,-4.53723865164,-4.80201631451,-4.76111593431,-5.49512718037,-1.526,-6.433
Free Cash Flow margin,-3.80875584248,-4.54089013197,-4.31582476026,-4.58029844318,-1.3147,-3.1518
EBITDA,-12449358.0,-14596703.0,-18353290.0,-14434510.0,-4986207.0,-9441416.0
EBIT,-13180242.0,-15265791.0,-19009337.0,-15059163.0,-5560125.0,-10103223.0
Consolidated Income,-13368098.0,-15419308.0,-19166753.0,-17352073.0,-5671470.0,-10134821.0
Earnings Before Tax Margin,-4.53723865164,-4.80201631451,-4.76111593431,-5.53600952586,-1.3744,-4.2043
Net Profit Margin,-4.53723865164,-4.80201631451,-4.76111593431,-5.49512718037,-1.3744,-4.2043
