Date,2012-12-31,2011-12-31
Depreciation & Amortization,60355135.0,59241673.0
Stock-based compensation,2486492.0,1935886.0
Operating Cash Flow,31272303.0,71650215.0
Capital Expenditure,79334481.0,87511475.0
Acquisitions and disposals,-0.0,-0.0
Investment purchases and sales,-196278.0,-176338.0
Investing Cash flow,-78933581.0,-88466162.0
Issuance (repayment) of debt,-210301303.0,-139975774.0
Issuance (buybacks) of shares,-196278.0,-176338.0
Dividend payments,-0.0,-0.0
Financing Cash Flow,47661278.0,16815947.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,0.0,0.0
Free Cash Flow,-48062178.0,-15861260.0
Net Cash/Marketcap,0.0,0.0
