Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
R&D Expenses,13109058.0,13000000.0,10715296.0,11000000.0,10089149.0,10000000.0,12148226.0,12000000.0,7015901.0,7000000.0,3253139.0,3392896.0,11992087.0,3934701.0,3176971.0
SG&A Expense,7428615.0,7000000.0,6639421.0,7000000.0,6324236.0,6000000.0,6115210.0,6000000.0,6253328.0,6000000.0,4725699.0,2713149.0,3547829.0,5990624.0,2944103.0
Operating Expenses,20537673.0,21000000.0,17354717.0,17000000.0,16413385.0,16000000.0,18263436.0,18000000.0,13269229.0,13000000.0,7978838.0,6579530.0,16131013.0,10305909.0,6465898.0
Operating Income,-20537673.0,-21000000.0,-17354717.0,-17000000.0,-16413385.0,-16000000.0,-18263436.0,-18000000.0,-13269229.0,-13000000.0,-7978838.0,-6579530.0,-16131013.0,-10305909.0,-6465898.0
Interest Expense,0.0,000000.0,552627.0,1000000.0,313090.0,0000000.0,211116.0,0000000.0,206172.0,000000.0,204212.0,332108.0,97667.0,180080.0,223950.0
Earnings before Tax,-14368530.0,-14000000.0,-25294503.0,-25000000.0,-9307345.0,-9000000.0,-14384556.0,-14000000.0,-18521601.0,-19000000.0,-9499424.0,-6226670.0,-11344950.0,-14022107.0,-2903098.0
Income Tax Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income,-14368530.0,-14000000.0,-25294503.0,-25000000.0,-9307345.0,-9000000.0,-14384556.0,-14000000.0,-18521601.0,-19000000.0,-9499424.0,-6226670.0,-11344950.0,-14022107.0,-2903098.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income Com,-14368530.0,-14000000.0,-25294503.0,-25000000.0,-9307345.0,-9000000.0,-14384556.0,-14000000.0,-18521601.0,-19000000.0,-9499424.0,-6226670.0,-11344950.0,-14022107.0,-2903098.0
EPS,-5.28,-0.44,-11.04,-0.92,-5.16,-0.40,-9.48,-0.80,-13.2,-1.10,-8.4,-7.2,-14.4,-21.6,-6.0
EPS Diluted,-5.28,-0.44,-11.04,-0.92,-5.16,-0.40,-9.48,-0.80,-13.2,-1.10,-8.4,-7.2,-14.4,-21.6,-6.0
Weighted Average Shs Out,2742947.0,33000000.0,2282543.0,27000000.0,1812061.0,22000000.0,1519901.0,18000000.0,1467558.0,18000000.0,1072077.0,809485.0,775404.0,655521.0,512012.0
Weighted Average Shs Out (Dil),2742947.0,33000000.0,2282543.0,27000000.0,1812061.0,22000000.0,1519901.0,18000000.0,1467558.0,18000000.0,1072077.0,809485.0,775404.0,655521.0,512012.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
EBITDA Margin,,,,,,,,,,,,,,,
EBIT Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Profit Margin,,,,,,,,,,,,,,,
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
EBITDA,-14320319.0,-14000000.0,-24699518.0,-25000000.0,-8961339.0,-9000000.0,-14145942.0,-14000000.0,-18287104.0,-13000000.0,-9258079.0,-5852176.0,-11202213.0,-13791368.0,-2637544.0
EBIT,-14368530.0,-14000000,-24741876.0,-24000000,-8994255.0,-9000000,-14173440.0,-14000000,-18315429.0,-19000000,-9295212.0,-5894562.0,-11247283.0,-13842027.0,-2679148.0
Consolidated Income,-14368530.0,-14000000.0,-25294503.0,-25000000.0,-9307345.0,-9000000.0,-14384556.0,-14000000.0,-18521601.0,-19000000.0,-9499424.0,-6226670.0,-11344950.0,-14022107.0,-2903098.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
