Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-524581.0,-828.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-200000000.0,-200000000.0
Issuance (repayment) of debt,-325000.0,1800000.0
Issuance (buybacks) of shares,0.0,300000.0
Dividend payments,-0.0,0.0
Financing Cash Flow,200962064.0,1353000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,437483.0,
Free Cash Flow,-524581.0,
Net Cash/Marketcap,0.0,
