Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12-31
Revenue,86304000.0,86000000.0,80238000.0,80000000.0,124917000.0,125000000.0,138000000.0,165000000.0,0.0
Revenue Growth,0.00353488372093023,0.0718113612004287,0.002975,-0.359574757639072,-0.000664,-0.0942028985507246,-0.163636363636364,0.0,0.0
Cost of Revenue,49174000.0,49000000.0,53847000.0,54000000.0,91328000.0,91000000.0,101000000.0,133000000.0,0.0
Gross Profit,37130000.0,37000000.0,26391000.0,26000000.0,33589000.0,34000000.0,36000000.0,32000000.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,,,0.0
SG&A Expense,32600000.0,33000000.0,27139000.0,27000000.0,44408000.0,44000000.0,44000000.0,50000000.0,0.0
Operating Expenses,36305000.0,36000000.0,30096000.0,30000000.0,80624000.0,50000000.0,50000000.0,56000000.0,0.0
Operating Income,825000.0,1000000.0,-3705000.0,-4000000.0,-47035000.0,-17000000.0,-14000000.0,-24000000.0,0.0
Interest Expense,1234000.0,000000.0,155000.0,000000.0,165000.0,000000.0,9000000.0,8000000.0,0.0
Earnings before Tax,-4892000.0,-5000000.0,-21719000.0,-18000000.0,-57441000.0,-55000000.0,-21000000.0,-29000000.0,0.0
Income Tax Expense,1234000.0,1000000.0,155000.0,0000000.0,165000.0,0000000.0,0000000.0,2000000.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,,0.0
Net Income,-6126000.0,-6000000.0,-21874000.0,-22000000.0,-57606000.0,-55000000.0,-21000000.0,-31000000.0,0.0
Preferred Dividends,1155000.0,,4301000.0,,2626000.0,,,,0.0
Net Income Com,-6126000.0,-6000000.0,-21874000.0,-22000000.0,-57606000.0,-55000000.0,-21000000.0,-31000000.0,0.0
EPS,-0.75,-0.75,-5.69,-5.69,-4.52,-13.56,-5.07,-6.90,0.0
EPS Diluted,-0.75,-0.75,-5.69,-5.69,-4.52,-13.56,-5.07,-6.90,0.0
Weighted Average Shs Out,9741000.0,10000000.0,4603000.0,5000000.0,12753000.0,4000000.0,4000000.0,5000000.0,0.0
Weighted Average Shs Out (Dil),9741000.0,10000000.0,4603000.0,5000000.0,12753000.0,4000000.0,4000000.0,5000000.0,0.0
Dividend per Share,0.0726824761318,,0.0,,0.0,,,,0.0
Gross Margin,0.430223396366,0.43023255813953,0.328908995738,0.325,0.268890543321,0.272,0.26086956521739,0.19393939393939,0.0
EBITDA Margin,0.462029569892,0.058139534883721,0.466998180413,0,0.108431998847,-0.088,-0.043478260869565,-0.084848484848485,0.0
EBIT Margin,0.00955923248053,-0.058139534883721,-0.0461751289913,-0.275,-0.376530015931,-0.44,-0.08695652173913,-0.12727272727273,0.0
Profit Margin,-0.0709816462736,-0.069767441860465,-0.272613973429,-0.275,-0.461154206393,-0.44,-0.15217391304348,-0.18787878787879,0.0
Free Cash Flow margin,-0.125359195402,,-0.0362920312072,,-0.0878263166743,,,,0.0
EBITDA,39875000.0,5000000.0,37471000.0,0000000.0,13545000.0,-11000000.0,-6000000.0,-14000000.0,0.0
EBIT,825000.0,-5000000,-3705000.0,-22000000,-47035000.0,-55000000,-12000000,-21000000,0.0
Consolidated Income,-6126000.0,-6000000.0,-21874000.0,-22000000.0,-57606000.0,-55000000.0,-21000000.0,-31000000.0,0.0
Earnings Before Tax Margin,-0.0566833518725,-0.058139534883721,-0.270682220394,-0.225,-0.459833329331,-0.44,-0.15217391304348,-0.17575757575758,0.0
Net Profit Margin,-0.0709816462736,-0.069767441860465,-0.272613973429,-0.275,-0.461154206393,-0.44,-0.15217391304348,-0.18787878787879,0.0
