Date,2018-12-31,2017-12-31
Depreciation & Amortization,323016.0,310820.0
Stock-based compensation,293639.0,108696.0
Operating Cash Flow,-12294511.0,-12233587.0
Capital Expenditure,-277036.0,-494854.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-277036.0,-494854.0
Issuance (repayment) of debt,5417793.0,8573729.0
Issuance (buybacks) of shares,37696.0,3551.0
Dividend payments,0.0,0.0
Financing Cash Flow,15837996.0,8866443.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,3266449.0,-3861998.0
Free Cash Flow,-12571547.0,-12728441.0
Net Cash/Marketcap,-0.0352,-0.0352
