Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,122074.4681,107142.8571,90861.8899,18256.6212,6100.6609,2015.5485
Stock-based compensation,1206648.9362,1550691.2442,402907.5805,338904.6027,202846.9751,167866.3979
Operating Cash Flow,-6285904.2553,-5118087.5576,-3741433.0218,-1982514.7853,-1118200.305,-757270.3714
Capital Expenditure,-174468.0851,-76612.9032,-303738.3178,-65569.5552,-58210.4728,-6046.6456
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,-19579.6142
Investment purchases and sales,102925.5319,5625000.0,-5070093.4579,0.0,-2852567.3615,0.0
Investing Cash flow,3645744.6809,2906394.0092,-4676012.4611,816405.2456,-2910777.8343,-31384.9698
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,-136248.0935,-57587.1005
Issuance (buybacks) of shares,3393351.0638,4554435.4839,9066458.9823,1644638.7246,3677935.9431,1136193.4927
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,3393351.0638,4554435.4839,9066458.9823,1644638.7246,3541687.8495,1884249.928
Effect of forex changes on cash,330585.1064,-195564.5161,-34787.1236,-17999.4857,-1270.971,0.0
Net cash flow / Change in cash,1083776.5957,2147177.4194,614226.3759,460529.6992,-488561.2608,1095594.5868
Free Cash Flow,-6460372.3404,-5194700.4608,-4045171.3396,-2048084.3404,-1176410.7778,-763317.017
Net Cash/Marketcap,,,,,,
