Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,12669200.0,12435043.0,,
Revenue Growth,0.0188304133729172,0.0,0.0,
Cost of Revenue,0.0,0.0,,
Gross Profit,12669200.0,12435043.0,,
R&D Expenses,0.0,0.0,,
SG&A Expense,9529867.0,9039845.0,,
Operating Expenses,11356417.0,10822449.0,,
Operating Income,1312783.0,1612594.0,,
Interest Expense,0.0,0.0,,
Earnings before Tax,1312783.0,1612594.0,,
Income Tax Expense,232262.0,700560.0,430000.0,479000.0
Net Income - Non-Controlling int,0.0,0.0,,
Net Income - Discontinued ops,0.0,0.0,,
Net Income,1080521.0,912034.0,,
Preferred Dividends,0.0,0.0,,
Net Income Com,1080521.0,912034.0,1002000.0,1079000.0
EPS,0.18,0.19,0.16,0.18
EPS Diluted,0.18,0.19,0.16,0.18
Weighted Average Shs Out,6083500.0,6084000.0,6084000.0,6084000.0
Weighted Average Shs Out (Dil),6083500.0,,,
Dividend per Share,0.0,0.0,,
Gross Margin,1.0,1.0,,
EBITDA Margin,0.146,0.175,,
EBIT Margin,0.1036,0.1297,,
Profit Margin,0.085,0.073,,
Free Cash Flow margin,-0.0671,0.1582,,
EBITDA,1852319.0,2172963.0,,
EBIT,1312783.0,1612594.0,,
Consolidated Income,1080521.0,912034.0,,
Earnings Before Tax Margin,0.1036,0.1297,,
Net Profit Margin,0.0853,0.0733,,
