Date,2017-12-31,2016-12-31
Depreciation & Amortization,,
Stock-based compensation,0.0,
Operating Cash Flow,2428826.0,-412356.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-402735815.0,
Investing Cash flow,-402735815.0,-402735815.0
Issuance (repayment) of debt,-150000.0,360000.0
Issuance (buybacks) of shares,400000000.0,60000.0
Dividend payments,0.0,0.0
Financing Cash Flow,401130005.0,420000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,823016.0,
Free Cash Flow,2428826.0,
Net Cash/Marketcap,,
