Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,16350592.0,2738244.0,1558409.0,1705067.0,1391123.0,0.0,0.0,1261983.0
Operating Cash Flow,-14479916.0,-8439427.0,-6509921.0,-4343397.0,-2187145.0,0.0,0.0,-1309867.0
Capital Expenditure,147668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,-71710.0,-310493.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-147668.0,2721954.0,-1274679.0,-6434620.0,-93355.0,0.0,0.0,-226718.0
Issuance (repayment) of debt,-0.0,-0.0,-23000.0,-0.0,-0.0,-0.0,-0.0,11400.0
Issuance (buybacks) of shares,-71710.0,-310493.0,0.0,2326015.0,1877500.0,0.0,0.0,683450.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,71245043.0,5717473.0,7784600.0,10778017.0,2280500.0,0.0,0.0,1536585.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,61746748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow,-14627584.0,-8439427.0,-6509921.0,-4343397.0,-2187145.0,0.0,0.0,-1309867.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
