Date,2018-12-31
Depreciation & Amortization,18000.0
Stock-based compensation,1879000.0
Operating Cash Flow,-29531000.0
Capital Expenditure,-491000.0
Acquisitions and disposals,0.0
Investment purchases and sales,0.0
Investing Cash flow,-143824000.0
Issuance (repayment) of debt,0.0
Issuance (buybacks) of shares,0.0
Dividend payments,0.0
Financing Cash Flow,300253000.0
Effect of forex changes on cash,0.0
Net cash flow / Change in cash,126898000.0
Free Cash Flow,-30022000.0
Net Cash/Marketcap,0.1719
