Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,895300000.0,405600000.0,382300000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,895300000.0,405600000.0,382300000.0
Receivables,1463500000.0,1314000000.0,1280700000.0
Inventories,0.0,0.0,0.0
Total current assets,2743300000.0,1910500000.0,1840900000.0
Property Plant & Equipment Net,313800000.0,304300000.0,245700000.0
Goodwill and Intangible Assets,2906700000.0,3071300000.0,3025600000.0
Long-term investments,1348900000.0,7900000.0,7600000.0
Tax assets,84000000.0,81200000.0,181600000.0
Total non-current assets,3802700000.0,3882900000.0,3841000000.0
Total assets,6546000000.0,5793400000.0,5681900000.0
Payables,1047700000.0,771200000.0,682000000.0
Short-term debt,39900000.0,59500000.0,35500000.0
Total current liabilities,2038700000.0,1965600000.0,1624500000.0
Long-term debt,2644200000.0,2784000000.0,2624600000.0
Total debt,2684100000.0,2843500000.0,2660100000.0
Deferred revenue,66800000.0,0.0,0.0
Tax Liabilities,43200000.0,193200000.0,441100000.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,3147200000.0,3328400000.0,3467400000.0
Total liabilities,5185900000.0,5294000000.0,5091900000.0
Other comprehensive income,2791200000,-87200000.0,-148500000.0
Retained earnings (deficit),-1298400000.0,-1148500000.0,-944700000.0
Total shareholders equity,1360100000.0,499400000.0,590000000.0
Investments,1348900000.0,7900000.0,7600000.0
Net Debt,1788800000.0,2437900000.0,2277800000.0
Other Assets,0.0,190900000.0,177900000.0
Other Liabilities,0.0,1134900000.0,907000000.0
