Date,2019-12-31,2018-12-31,2017-12-31
Cash and cash equivalents,460711000.0,285000000.0,353798000.0
Short-term investments,0.0,138000000.0,128000000.0
Cash and short-term investments,460711000.0,423000000.0,481798000.0
Receivables,0.0,265000000.0,74361000.0
Inventories,0.0,0.0,
Total current assets,460711000.0,,
Property Plant & Equipment Net,40405000.0,38000000.0,27031000.0
Goodwill and Intangible Assets,3976238000.0,826821000.0,
Long-term investments,0.0,,
Tax assets,256450000.0,6820000.0,
Total non-current assets,4634623000.0,,
Total assets,5095334000.0,1316887000.0,
Payables,32834000.0,37264000.0,
Short-term debt,1506000.0,,
Total current liabilities,61030000.0,,
Long-term debt,0.0,0.0,0.0
Total debt,1506000.0,0.0,
Deferred revenue,23990000.0,29673000.0,
Tax Liabilities,2700000.0,0.0,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,21572000.0,,
Total liabilities,1716746000.0,317118000.0,
Other comprehensive income,3329388000,-13267000.0,
Retained earnings (deficit),47833000.0,,
Total shareholders equity,3378588000.0,986468000.0,
Investments,0.0,0.0,
Net Debt,-459205000.0,,
Other Assets,0.0,,
Other Liabilities,1634144000.0,,
