Date,2019-12-31,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12
Revenue,14859000.0,22256000.0,22000000.0,13092000.0,13000000.0,30586000.0,31000000.0,91182000.0,91000000.0,69045000.0,69000000.0
Revenue Growth,-0.332359813084112,0.0116363636363636,0.680415520928812,0.00707692307692308,-0.574968940037926,-0.0133548387096774,-0.66002061810445,0.002,0.317981026866536,0.000652173913043478,
Cost of Revenue,1875000.0,2779000.0,000000.0,3770000.0,000000.0,4005000.0,000000.0,-33693000.0,000000.0,39093000.0,0000000.0
Gross Profit,12984000.0,19477000.0,22000000.0,9322000.0,13000000.0,26581000.0,31000000.0,124875000.0,91000000.0,29952000.0,69000000.0
R&D Expenses,0.0,5956000.0,6000000.0,8153000.0,8000000.0,10240000.0,10000000.0,17032000.0,17000000.0,18477000.0,18000000.0
SG&A Expense,32811000.0,23497000.0,23000000.0,24065000.0,24000000.0,34703000.0,35000000.0,42792000.0,43000000.0,47778000.0,48000000.0
Operating Expenses,42261000.0,31491000.0,34000000.0,34800000.0,39000000.0,47741000.0,52000000.0,65920000.0,72000000.0,72926000.0,82000000.0
Operating Income,-29277000.0,-12014000.0,-12000000.0,-25478000.0,-25000000.0,-21160000.0,-21000000.0,58955000.0,19000000.0,-42974000.0,-13000000.0
Interest Expense,25166000.0,23302000.0,23000000.0,19570000.0,20000000.0,14956000.0,15000000.0,7424000.0,7000000.0,1138000.0,1000000.0
Earnings before Tax,155158000.0,91877000.0,92000000.0,2450600000.0,2451000000.0,1475672000.0,1476000000.0,-70055000.0,-70000000.0,-202291000.0,-202000000.0
Income Tax Expense,37942000.0,21924000.0,22000000.0,416933000.0,417000000.0,558369000.0,558000000.0,-19868000.0,-20000000.0,-67686000.0,-68000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,117216000.0,69953000.0,70000000.0,2033667000.0,2034000000.0,917303000.0,917000000.0,-50187000.0,-50000000.0,-134605000.0,-135000000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,117216000.0,69953000.0,70000000.0,2033667000.0,2034000000.0,917303000.0,917000000.0,-50187000.0,-50000000.0,-134605000.0,-135000000.0
EPS,0.65,0.39,0.39,11.19,11.19,6.03,6.03,-0.49,-0.49,-1.52,-1.52
EPS Diluted,0.64,0.38,0.38,11.1,11.10,6.0,6.00,-0.49,-0.49,-1.52,-1.52
Weighted Average Shs Out,181531000.0,181325000.0,181000000.0,181772000.0,182000000.0,152103000.0,152000000.0,102504000.0,103000000.0,88143000.0,88000000.0
Weighted Average Shs Out (Dil),182784000.0,182589000.0,183000000.0,183146000.0,183000000.0,152852000.0,153000000.0,102998000.0,103000000.0,88773000.0,89000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Margin,0.873813850192,0.875134795111,1,0.712037885732,1,0.869057738835,1,1.36951371981,1,0.433804040843,1
EBITDA Margin,-1.84413486776,-0.414944284687,5.3636363636364,-1.65811182401,190.30769230769,-0.560877525665,48.225806451613,0.713331578601,-0.62637362637363,-0.491433123325,-2.7826086956522
EBIT Margin,-1.97032101757,-0.539809489576,5.2272727272727,-1.94607393828,190.07692307692,-0.691819786831,48.064516129032,0.646564014827,-0.69230769230769,-0.622405677457,-2.9275362318841
Profit Margin,7.88855239249,3.14310747664,3.1818181818182,155.336617782,156.46153846154,29.990943569,29.58064516129,-0.550404685135,-0.54945054945055,-1.94952567166,-1.9565217391304
Free Cash Flow margin,-2.56161249075,-1.18174874191,,-2.29919034525,,-0.397730988034,,0.365653308767,,0.0192627996234,
EBITDA,-27402000.0,-9235000.0,118000000.0,-21708000.0,2474000000.0,-17155000.0,1495000000.0,65043000.0,-57000000.0,-33931000.0,-192000000.0
EBIT,-29277000.0,-12014000.0,115000000,-25478000.0,2471000000,-21160000.0,1490000000,58955000.0,-63000000,-42974000.0,-202000000
Consolidated Income,117216000.0,69953000.0,70000000.0,2033667000.0,2034000000.0,917303000.0,917000000.0,-50187000.0,-50000000.0,-134605000.0,-135000000.0
Earnings Before Tax Margin,10.4420216704,4.12819015097,4.1818181818182,187.183012527,188.53846153846,48.2466487936,47.612903225806,-0.7682985677,-0.76923076923077,-2.92984285611,-2.9275362318841
Net Profit Margin,7.88855239249,3.14310747664,3.1818181818182,155.336617782,156.46153846154,29.990943569,29.58064516129,-0.550404685135,-0.54945054945055,-1.94952567166,-1.9565217391304
