Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,3074000.0,3000000.0,3147000.0,3000000.0,3897.0,4000000.0,6805087.0,7000000.0,0.0,000000.0,0.0,0.0
Stock-based compensation,447000.0,0000000.0,904000.0,1000000.0,1563.0,2000000.0,2060287.0,2000000.0,0.0,000000.0,0.0,0.0
Operating Cash Flow,-3680000.0,-4000000.0,-2422000.0,-2000000.0,-11443.0,-11000000.0,-8730090.0,-9000000.0,0.0,000000.0,-242819.0,0.0
Capital Expenditure,120000.0,-0000000.0,348000.0,-0000000.0,381.0,-0000000.0,2293436.0,-2000000.0,0.0,000000.0,0.0,0.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Investing Cash flow,-120000.0,-0000000.0,-348000.0,-0000000.0,723.0,1000000.0,-2293436.0,-2000000.0,8235566.0,000000.0,-80348373.0,0.0
Issuance (repayment) of debt,-0.0,-1000000.0,-0.0,-3000000.0,-0.0,000000.0,-0.0,000000.0,-0.0,000000.0,-0.0,-0.0
Issuance (buybacks) of shares,-1538000.0,,-772000.0,,-3206.0,,-3076708.0,,-8235566.0,,0.0,0.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,-84000.0,-0000000.0,5229000.0,5000000.0,10849.0,11000000.0,6000000.0,6000000.0,0.0,000000.0,80591192.0,0.0
Effect of forex changes on cash,280000.0,0000000.0,-523000.0,-1000000.0,-86.0,-0000000.0,-135362.0,-0000000.0,0.0,000000.0,0.0,0.0
Net cash flow / Change in cash,-3604000.0,-4000000.0,1936000.0,2000000.0,129.0,0000000.0,-5158858.0,-5000000.0,8235566.0,000000.0,0.0,0.0
Free Cash Flow,-3800000.0,-4000000.0,-2770000.0,-3000000.0,-11824.0,-12000000.0,-11023526.0,-11000000.0,0.0,000000.0,-242819.0,0.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
