Date,2017-12-25,2017-12,2016-12-26,2016-12,2015-12-28,2015-12,2014-12-29,2014-12,2013-12
Revenue,314101000.0,314000000.0,275963000.0,276000000.0,226557000.0,227000000.0,171733000.0,172000000.0,116000000.0
Revenue Growth,0.000321656050955414,0.137833695096806,-0.000134057971014493,0.218236470292244,-0.00195154185022026,0.321819335829456,-0.00155232558139535,0.482758620689655,
Cost of Revenue,211137000.0,256000000.0,183259000.0,221000000.0,151512000.0,178000000.0,117869000.0,137000000.0,93000000.0
Gross Profit,102964000.0,58000000.0,92704000.0,55000000.0,75045000.0,48000000.0,53864000.0,35000000.0,24000000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,
SG&A Expense,33353000.0,36000000.0,30358000.0,33000000.0,26666000.0,29000000.0,26744000.0,29000000.0,15000000.0
Operating Expenses,101739000.0,56000000.0,86279000.0,49000000.0,69883000.0,42000000.0,58663000.0,39000000.0,23000000.0
Operating Income,1225000.0,3000000.0,6425000.0,7000000.0,5162000.0,6000000.0,-4799000.0,-5000000.0,1000000.0
Interest Expense,4636000.0,000000.0,3848000.0,000000.0,3270000.0,000000.0,3535000.0,000000.0,4000000.0
Earnings before Tax,-3321000.0,-3000000.0,2664000.0,3000000.0,1963000.0,2000000.0,-9318000.0,-9000000.0,-3000000.0
Income Tax Expense,-1330000.0,-1000000.0,861000.0,1000000.0,839000.0,1000000.0,699000.0,1000000.0,1000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,
Net Income,-1991000.0,-2000000.0,1803000.0,2000000.0,1124000.0,1000000.0,-10017000.0,-10000000.0,-4000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,
Net Income Com,-1991000.0,-2000000.0,1803000.0,2000000.0,1124000.0,1000000.0,-10017000.0,-10000000.0,-4000000.0
EPS,-0.1,-0.10,0.09,0.09,0.06,0.06,-0.58,-0.58,-0.30
EPS Diluted,-0.1,-0.10,0.09,0.09,0.06,0.06,-0.58,-0.58,-0.30
Weighted Average Shs Out,19484111.0,19000000.0,19434622.0,19000000.0,19344896.0,19000000.0,17410000.0,17000000.0,13000000.0
Weighted Average Shs Out (Dil),19484111.0,19000000.0,19586447.0,20000000.0,19552708.0,20000000.0,17410000.0,17000000.0,13000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.327805387439,0.18471337579618,0.335929091943,0.19927536231884,0.331241144613,0.21145374449339,0.313649677115,0.20348837209302,0.20689655172414
EBITDA Margin,0.0672936412173,0.073248407643312,0.081558034954,0.083333333333333,0.0802800178322,0.083700440528634,0.0334880308386,0.034883720930233,0.068965517241379
EBIT Margin,0.0039000194205,-0.0095541401273885,0.0232821066592,0.010869565217391,0.0227845531147,0.0088105726872247,-0.0279445418178,-0.052325581395349,0.0086206896551724
Profit Margin,-0.00633872544182,-0.0063694267515924,0.00653348456134,0.0072463768115942,0.00496122388626,0.0044052863436123,-0.0583289175639,-0.058139534883721,-0.03448275862069
Free Cash Flow margin,-0.0576215930545,,-0.0716798991169,,-0.0536288880944,,-0.0777311291365,,
EBITDA,21137000.0,23000000.0,22507000.0,23000000.0,18188000.0,19000000.0,5751000.0,6000000.0,8000000.0
EBIT,1225000.0,-3000000,6425000.0,3000000,5162000.0,2000000,-4799000.0,-9000000,1000000
Consolidated Income,-1991000.0,-2000000.0,1803000.0,2000000.0,1124000.0,1000000.0,-10017000.0,-10000000.0,-4000000.0
Earnings Before Tax Margin,-0.0105730322412,-0.0095541401273885,0.00965346803738,0.010869565217391,0.00866448619994,0.0088105726872247,-0.0542586456884,-0.052325581395349,-0.025862068965517
Net Profit Margin,-0.00633872544182,-0.0063694267515924,0.00653348456134,0.0072463768115942,0.00496122388626,0.0044052863436123,-0.0583289175639,-0.058139534883721,-0.03448275862069
