Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Revenue,109818000.0,452005000.0,452000000.0,362619000.0,363000000.0,243624000.0,244000000.0,129180000.0,129000000.0,94529000.0,95000000.0
Revenue Growth,-0.757042510591697,0.0000110619469026549,0.246487360011472,-0.0010495867768595,0.490000985124618,-0.00154098360655738,0.888837281312897,0.0013953488372093,0.364660580351003,-0.00495789473684211,
Cost of Revenue,130279000.0,80924000.0,108000000.0,67892000.0,96000000.0,72790000.0,84000000.0,48170000.0,32000000.0,37824000.0,25000000.0
Gross Profit,-20461000.0,371081000.0,344000000.0,294727000.0,267000000.0,170834000.0,160000000.0,81010000.0,97000000.0,56705000.0,70000000.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
SG&A Expense,20702000.0,15549000.0,,15965000.0,,13758000.0,,12330000.0,,5478000.0,
Operating Expenses,97646000.0,96051000.0,69000000.0,90153000.0,62000000.0,62852000.0,52000000.0,12330000.0,29000000.0,5478000.0,19000000.0
Operating Income,318502000.0,275030000.0,275000000.0,204574000.0,205000000.0,107982000.0,108000000.0,68680000.0,69000000.0,51227000.0,51000000.0
Interest Expense,55068000.0,36015000.0,36000000.0,14915000.0,15000000.0,6113000.0,6000000.0,872000.0,1000000.0,1187000.0,0000000.0
Earnings before Tax,265648000.0,239768000.0,,189943000.0,,102092000.0,,69312000.0,,51338000.0,
Income Tax Expense,1553000.0,1335000.0,1000000.0,1112000.0,1000000.0,251000.0,0000000.0,548000.0,1000000.0,1187000.0,1000000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,264095000.0,238433000.0,238000000.0,189943000.0,204000000.0,102092000.0,132000000.0,69312000.0,69000000.0,50151000.0,2000000.0
Preferred Dividends,54108000.0,49113000.0,,23553000.0,,6069000.0,,1379000.0,,0.0,
Net Income Com,264095000.0,238433000.0,238000000.0,189943000.0,204000000.0,102092000.0,132000000.0,69312000.0,69000000.0,50151000.0,2000000.0
EPS,0.0,0.0,2.78,0.0,2.72,2.12,2.10,1.01,1.01,0.0,0.03
EPS Diluted,0.0,0.0,2.78,0.0,2.72,2.12,2.10,1.01,1.01,0.0,0.03
Weighted Average Shs Out,0.0,0.0,68000000.0,48817000.0,66000000.0,31222000.0,60000000.0,28790000.0,58000000.0,0.0,58000000.0
Weighted Average Shs Out (Dil),0.0,0.0,68000000.0,48817000.0,66000000.0,31222000.0,60000000.0,28790000.0,58000000.0,0.0,58000000.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Margin,-0.186317361453,0.820966582228,0.76106194690265,0.812773186182,0.73553719008264,0.701219912652,0.65573770491803,0.627109459669,0.75193798449612,0.599868823324,0.73684210526316
EBITDA Margin,3.59349104883,0.72456056902,0.72566371681416,0.690915258164,0.69146005509642,0.600043509671,0.5983606557377,0.659010682768,0.67441860465116,0.680352061272,0.68421052631579
EBIT Margin,2.90027135807,0.608466720501,0.60840707964602,0.564156869883,0.60606060606061,0.443232193873,0.5655737704918,0.531661247871,0.55038759689922,0.541918353098,0.031578947368421
Profit Margin,2.40484255769,0.527500801982,0.52654867256637,0.523808735891,0.56198347107438,0.419055593866,0.54098360655738,0.536553646075,0.53488372093023,0.530535602831,0.021052631578947
Free Cash Flow margin,2.97151650913,0.554009358304,,0.570124566005,,0.412360851148,,0.56261805233,,0.495678574829,
EBITDA,394630000.0,327505000.0,328000000.0,250539000.0,251000000.0,146185000.0,146000000.0,85131000.0,87000000.0,64313000.0,65000000.0
EBIT,318502000.0,275030000.0,275000000,204574000.0,220000000,107982000.0,138000000,68680000.0,71000000,51227000.0,3000000
Consolidated Income,264095000.0,238433000.0,238000000.0,189943000.0,204000000.0,102092000.0,132000000.0,69312000.0,69000000.0,50151000.0,2000000.0
Earnings Before Tax Margin,2.41898413739,0.530454309134,0,0.523808735891,0,0.419055593866,0,0.536553646075,0,0.543092595923,0
Net Profit Margin,2.40484255769,0.527500801982,0.52654867256637,0.523808735891,0.56198347107438,0.419055593866,0.54098360655738,0.536553646075,0.53488372093023,0.530535602831,0.021052631578947
