Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,331066000.0,331000000.0,288968000.0,289000000.0,255162000.0,255000000.0,225793000.0,226000000.0,184376000.0,184000000.0,144951000.0,125447000.0
Revenue Growth,0.000199395770392749,0.145455552171867,-0.000110726643598616,0.132613790454692,0.000635294117647059,0.129352991456777,-0.000915929203539823,0.225756063695926,0.00204347826086957,0.269394485032873,0.155476017760488,0.0
Cost of Revenue,225924000.0,,219470000.0,,192019000.0,,183029000.0,,142154000.0,,111293000.0,98578000.0
Gross Profit,105142000.0,,69498000.0,,63143000.0,,42764000.0,,42222000.0,,33658000.0,26869000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,14369000.0,28000000.0,11603000.0,24000000.0,9452000.0,21000000.0,10117000.0,19000000.0,7678000.0,15000000.0,7908000.0,11016000.0
Operating Expenses,42181000.0,,20432000.0,,18088000.0,,18824000.0,,17892000.0,,17501000.0,19620000.0
Operating Income,62961000.0,65000000.0,49066000.0,61000000.0,45055000.0,45000000.0,23940000.0,37000000.0,24330000.0,24000000.0,16157000.0,7249000.0
Interest Expense,15268000.0,,15454000.0,,24449000.0,,20656000.0,,17526000.0,,14390000.0,18242000.0
Earnings before Tax,46130000.0,,21760000.0,,18327000.0,,15394000.0,,5493000.0,,835000.0,-12413000.0
Income Tax Expense,584000.0,1000000.0,684000.0,1000000.0,347000.0,0000000.0,261000.0,0000000.0,203000.0,0000000.0,-884000.0,-95000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,47440000.0,47000000.0,44924000.0,45000000.0,19911000.0,20000000.0,47055000.0,47000000.0,4323000.0,4000000.0,8421000.0,-11014000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,47440000.0,47000000.0,44924000.0,45000000.0,19911000.0,20000000.0,47055000.0,47000000.0,4323000.0,4000000.0,8421000.0,-11014000.0
EPS,0.6,0.60,0.65,0.65,0.4,0.40,1.1,1.10,0.04,0.12,0.08,-0.15
EPS Diluted,0.6,0.60,0.65,0.65,0.4,0.40,1.09,1.10,0.04,0.12,0.08,-0.15
Weighted Average Shs Out,74263000.0,74000000.0,69336000.0,69000000.0,49676000.0,50000000.0,42933958.0,43000000.0,114431996.0,38000000.0,101243974.0,75485418.0
Weighted Average Shs Out (Dil),74465000.0,74000000.0,69600000.0,70000000.0,49991000.0,50000000.0,43277347.0,43000000.0,115469596.0,38000000.0,102316958.0,75485418.0
Dividend per Share,1.52771100517,,1.48590517241,,1.4104938889,,1.36674274419,,0.415780444923,,0.331900016027,0.234773820819
Gross Margin,0.317586221478,0,0.240504138867,0,0.247462396438,0,0.189394711085,0,0.228999435935,0,0.232202606398,0.214186070611
EBITDA Margin,0.48339606,0.47432024169184,0.457247861355,0.4083044982699,0.448040852478,0.43137254901961,0.3731913744,0.41592920353982,0.40773744956,0.39673913043478,0.380583783485,0.300190518705
EBIT Margin,0.190176581105,0.14501510574018,0.169797347803,0.15916955017301,0.176574098024,0.07843137254902,0.106026316139,0.20796460176991,0.131958606326,0.021739130434783,0.111465253775,0.0577853595542
Profit Margin,0.143294690485,0.14199395770393,0.155463580743,0.15570934256055,0.0780327791756,0.07843137254902,0.208398843188,0.20796460176991,0.0234466524927,0.021739130434783,0.0580954943395,-0.0877980342296
Free Cash Flow margin,0.457443530897,,0.458981617342,,0.39149638269,,0.395145110787,,0.419832299215,,0.354561196542,0.327516799923
EBITDA,160036000.0,157000000.0,132130000.0,118000000.0,114323000.0,110000000.0,84264000.0,94000000.0,75177000.0,73000000.0,55166000.0,37658000.0
EBIT,62961000.0,48000000,49066000.0,46000000,45055000.0,20000000,23940000.0,47000000,24330000.0,4000000,16157000.0,7249000.0
Consolidated Income,47440000.0,47000000.0,44924000.0,45000000.0,19911000.0,20000000.0,47055000.0,47000000.0,4323000.0,4000000.0,8421000.0,-11014000.0
Earnings Before Tax Margin,0.139337775549,0,0.0753024556352,0,0.0718249582618,0,0.0681774900019,0,0.0297923807871,0,0.00576056736414,-0.0989501542484
Net Profit Margin,0.143294690485,0.14199395770393,0.155463580743,0.15570934256055,0.0780327791756,0.07843137254902,0.208398843188,0.20796460176991,0.0234466524927,0.021739130434783,0.0580954943395,-0.0877980342296
