Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Depreciation & Amortization,1691000.0,2000000.0,1710000.0,2000000.0,1764000.0,2000000.0,1643000.0,2000000.0,1444000.0,1000000.0,1428000.0
Stock-based compensation,6842000.0,7000000.0,9414000.0,9000000.0,11131000.0,11000000.0,10766000.0,11000000.0,6194000.0,6000000.0,1736000.0
Operating Cash Flow,-44862000.0,-45000000.0,-84970000.0,-85000000.0,-36936000.0,-37000000.0,-75138000.0,-75000000.0,-84511000.0,-85000000.0,144544000.0
Capital Expenditure,655000.0,-1000000.0,585000.0,-1000000.0,1158000.0,-1000000.0,1364000.0,-1000000.0,1809000.0,-2000000.0,557000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,42000000,0.0,58000000,0.0,-28000000,0.0,85000000,0.0,-97000000,0.0
Investing Cash flow,41182000.0,41000000.0,57250000.0,57000000.0,-29703000.0,-30000000.0,83666000.0,84000000.0,-98364000.0,-98000000.0,-57794000.0
Issuance (repayment) of debt,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Issuance (buybacks) of shares,-9686000.0,,-11576000.0,,59170000.0,,-16244000.0,,-5938000.0,,-188412000.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Financing Cash Flow,89000.0,0000000.0,4044000.0,4000000.0,65148000.0,65000000.0,1778000.0,2000000.0,2082000.0,2000000.0,105918000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,-3591000.0,-4000000.0,-23676000.0,-24000000.0,0.0,-1000000.0,10306000.0,10000000.0,-180793000.0,-181000000.0,192668000.0
Free Cash Flow,-45517000.0,-46000000.0,-85555000.0,-86000000.0,-38094000.0,-38000000.0,-76502000.0,-77000000.0,-86320000.0,-86000000.0,143987000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
