Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12,2014-12
Revenue,4372000.0,,0.0,,0.0,,,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,,
Gross Profit,0.0,,0.0,,0.0,,,
R&D Expenses,0.0,,4368000.0,,0.0,,,
SG&A Expense,58166000.0,,39556000.0,,27735000.0,,,
Operating Expenses,58166000.0,,43924000.0,,27735000.0,,,
Operating Income,57704000.0,,42046000.0,,28811000.0,,,
Interest Expense,12791000.0,,20071000.0,,9394000.0,,,
Earnings before Tax,55235000.0,,40139000.0,,27247000.0,,,
Income Tax Expense,12791000.0,,20071000.0,,9394000.0,,,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,
Net Income,42444000.0,42000000.0,20068000.0,20000000.0,17853000.0,18000000.0,10000000.0,5000000.0
Preferred Dividends,0.0,,0.0,,0.0,,,
Net Income Com,42444000.0,42000000.0,20068000.0,20000000.0,17853000.0,18000000.0,10000000.0,5000000.0
EPS,2.26,2.26,1.45,1.45,1.64,1.64,1.04,0.94
EPS Diluted,2.21,2.21,1.41,1.41,1.61,1.61,1.02,0.93
Weighted Average Shs Out,0.0,19000000.0,0.0,14000000.0,0.0,11000000.0,9000000.0,7000000.0
Weighted Average Shs Out (Dil),0.0,19000000.0,0.0,14000000.0,0.0,11000000.0,9000000.0,8000000.0
Dividend per Share,0.0,,0.0,,0.0,,,
Gross Margin,0.0,,0.0,,0.0,,,
EBITDA Margin,13.1134492223,,0.0,,0.0,,,
EBIT Margin,13.1985361391,,0.0,,0.0,,,
Profit Margin,9.70814272644,,0.0,,0.0,,,
Free Cash Flow margin,11.3472095151,,0.0,,0.0,,,
EBITDA,57332000.0,,41660000.0,,29876000.0,,,
EBIT,57704000.0,42000000,42046000.0,20000000,28811000.0,18000000,10000000,5000000
Consolidated Income,42444000.0,42000000.0,20068000.0,20000000.0,17853000.0,18000000.0,10000000.0,5000000.0
Earnings Before Tax Margin,12.6338060384,,0.0,,0.0,,,
Net Profit Margin,9.70814272644,,0.0,,0.0,,,
