Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,0.0,0.0,,0.0,,0.0,,,
Stock-based compensation,0.0,0.0,0000000.0,36600.0,000000.0,0.0,000000.0,000000.0,000000.0
Operating Cash Flow,-73471.0,-399588.0,-0000000.0,-371942.0,-0000000.0,-118522.0,-0000000.0,-0000000.0,000000.0
Capital Expenditure,0.0,0.0,,0.0,,0.0,,,
Acquisitions and disposals,0.0,0.0,,0.0,,0.0,,,
Investment purchases and sales,228888.0,216657.0,0,-40365000.0,-40000000,0.0,0,0,0
Investing Cash flow,228888.0,216657.0,-0000000.0,-40365000.0,-40000000.0,0.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,456800.0,778890.0,-0000000.0,394080.0,-0000000.0,229445.0,-0000000.0,000000.0,000000.0
Issuance (buybacks) of shares,-33507642.0,0.0,,40307975.0,,29.0,,,
Dividend payments,0.0,0.0,,0.0,,0.0,,,
Financing Cash Flow,-33067712.0,752890.0,1000000.0,40702055.0,41000000.0,144060.0,0000000.0,0000000.0,000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,-32912295.0,569959.0,0000000.0,-34887.0,-0000000.0,25538.0,0000000.0,0000000.0,000000.0
Free Cash Flow,-73471.0,-399588.0,-0000000.0,-371942.0,-0000000.0,-118522.0,-0000000.0,-0000000.0,000000.0
Net Cash/Marketcap,,,,,,,,,
