Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12,2014-12
Depreciation & Amortization,-372000.0,0000000.0,-386000.0,0000000.0,1065000.0,1000000.0,3000000.0,1000000.0
Stock-based compensation,2097000.0,2000000.0,1684000.0,2000000.0,1226000.0,1000000.0,1000000.0,0000000.0
Operating Cash Flow,57843000.0,,45670000.0,,29482000.0,,,
Capital Expenditure,8233000.0,,18732000.0,,2848000.0,,,
Acquisitions and disposals,47858000.0,,12710000.0,,-0.0,,,
Investment purchases and sales,55907000.0,-164000000,22627000.0,-48000000,33092000.0,-59000000,-39000000,-2000000
Investing Cash flow,-145494000.0,-145000000.0,-268387000.0,-268000000.0,-187161000.0,-187000000.0,-225000000.0,-18000000.0
Issuance (repayment) of debt,-94000.0,,860000.0,,-0.0,,,
Issuance (buybacks) of shares,-217130000.0,,-235288000.0,,-217293000.0,,,
Dividend payments,-2162000.0,,-1868000.0,,-1627000.0,,,
Financing Cash Flow,69494000.0,69000000.0,240712000.0,241000000.0,162515000.0,163000000.0,289000000.0,13000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,
Net cash flow / Change in cash,-18158000.0,-18000000.0,17995000.0,18000000.0,4836000.0,5000000.0,89000000.0,-1000000.0
Free Cash Flow,49610000.0,,26938000.0,,26634000.0,,,
Net Cash/Marketcap,0.0,,0.0,,0.0,,,
