Date,2018-12-31,2017-12-31,2016-12-31
Revenue,707000.0,128000.0,0.0
Revenue Growth,4.5234375,0.0,
Cost of Revenue,356000.0,118000.0,0.0
Gross Profit,351000.0,10000.0,0.0
R&D Expenses,19402000.0,12332000.0,12510280.0
SG&A Expense,13086000.0,5852000.0,4973351.0
Operating Expenses,32488000.0,18184000.0,17483631.0
Operating Income,-32137000.0,-18174000.0,-17483631.0
Interest Expense,0.0,22000.0,0.0
Earnings before Tax,-32482000.0,-18060000.0,-17399902.0
Income Tax Expense,1000.0,1000.0,800.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-32483000.0,-18061000.0,-17400702.0
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-32483000.0,-18061000.0,-17400702.0
EPS,-4.64,-7.04,-7.52
EPS Diluted,-4.64,-7.04,-7.52
Weighted Average Shs Out,6997777.0,25306000.0,25306000.0
Weighted Average Shs Out (Dil),6997777.0,2564964.0,2313526.0
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.496463932107,0.0781,0.0
EBITDA Margin,-43.639321075,-135.258,
EBIT Margin,-45.4554455446,-140.9219,0.0
Profit Margin,-45.9448373409,-141.102,
Free Cash Flow margin,-46.1074964639,-150.1094,0.0
EBITDA,-30853000.0,-17313000.0,-16774785.0
EBIT,-32137000.0,-18038000.0,-17399902.0
Consolidated Income,-32483000.0,-18061000.0,-17400702.0
Earnings Before Tax Margin,-45.9434229137,-141.0938,0.0
Net Profit Margin,-45.9448373409,-141.1016,0.0
