Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,36983000.0,,36855000.0,,34416000.0,,34851000.0,,32856000.0,,28605000.0,28605000.0
Operating Expenses,36983000.0,,36855000.0,,34416000.0,,34851000.0,,32856000.0,,28605000.0,28605000.0
Operating Income,21157000.0,,18306000.0,,12162000.0,,4873000.0,,5007000.0,,-6515000.0,-6515000.0
Interest Expense,15731000.0,,13375000.0,,10080000.0,,9733000.0,,9628000.0,,10826000.0,10826000.0
Earnings before Tax,21157000.0,,18306000.0,,12162000.0,,4873000.0,,5007000.0,,-6515000.0,-6515000.0
Income Tax Expense,5942000.0,,5727000.0,,2827000.0,,1169000.0,,1300000.0,,-2475000.0,-2475000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,15215000.0,16000000.0,12579000.0,15000000.0,9335000.0,13000000.0,3704000.0,9000000.0,3707000.0,4000000.0,-4040000.0,-4040000.0
Preferred Dividends,18000.0,,41000.0,,55000.0,,56000.0,,34000.0,,0.0,0.0
Net Income Com,15215000.0,16000000.0,12579000.0,15000000.0,9335000.0,13000000.0,3704000.0,9000000.0,3707000.0,4000000.0,-4040000.0,-4040000.0
EPS,1.02,1.07,0.84,1.02,0.62,0.84,0.24,0.62,0.22,0.24,-0.29,-0.29
EPS Diluted,1.0,1.02,0.83,1.00,0.62,0.83,0.24,0.62,0.22,0.24,-0.29,-0.29
Weighted Average Shs Out,14821391.0,15000000.0,14726607.0,15000000.0,14682147.0,15000000.0,15253421.0,15000000.0,16458591.0,15000000.0,17145031.0,17145031.0
Weighted Average Shs Out (Dil),15196011.0,16000000.0,14949654.0,15000000.0,14793346.0,15000000.0,15270212.0,15000000.0,16458591.0,15000000.0,17145031.0,17145031.0
Dividend per Share,0.30317166788,,0.219135506414,,0.171496022604,,0.122984540097,,0.119694328634,,0.0312627022955,0.0312627022955
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBIT Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA,25282000.0,,22327000.0,,15892000.0,,9741000.0,,6228000.0,,-4755000.0,-4755000.0
EBIT,21157000.0,16000000,18306000.0,15000000,12162000.0,13000000,4873000.0,9000000,5007000.0,4000000,-6515000.0,-6515000.0
Consolidated Income,15215000.0,16000000.0,12579000.0,15000000.0,9335000.0,13000000.0,3704000.0,9000000.0,3707000.0,4000000.0,-4040000.0,-4040000.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
