Date,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2013-09
Revenue,31546996.0,,56057327.0,,86665.0,,122691.0,,91260.0,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,
SG&A Expense,26431145.0,,25655810.0,,20712215.0,,19763210.0,,18458664.0,
Operating Expenses,26431145.0,,25655810.0,,20978666.0,,20143420.0,,18935087.0,
Operating Income,22757702.0,,17970204.0,,8377474.0,,5955133.0,,9124917.0,
Interest Expense,6719554.0,,5629774.0,,5012922.0,,5729765.0,,7361119.0,
Earnings before Tax,22757702.0,,17970204.0,,8377474.0,,7040591.0,,9124917.0,
Income Tax Expense,8321597.0,,6106884.0,,2805312.0,,2742213.0,,2868500.0,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,14436105.0,14000000.0,11863320.0,12000000.0,5572162.0,6000000.0,5955133.0,6000000.0,6256417.0,6000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,14436105.0,14000000.0,11863320.0,12000000.0,5572162.0,6000000.0,5955133.0,6000000.0,6256417.0,6000000.0
EPS,1.01,1.01,0.83,0.83,0.35,0.35,0.29,0.29,0.3,0.30
EPS Diluted,0.95,0.95,0.79,0.79,0.34,0.34,0.28,0.28,0.3,0.30
Weighted Average Shs Out,14316609.0,14000000.0,14371126.0,14000000.0,15717421.0,16000000.0,20591302.0,21000000.0,20629531.0,21000000.0
Weighted Average Shs Out (Dil),15153373.0,15000000.0,14983344.0,15000000.0,16399831.0,16000000.0,21101388.0,21000000.0,20792089.0,21000000.0
Dividend per Share,0.236160424481,,0.191934190392,,0.191118981653,,0.197706236196,,0.36956983976,
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,
EBITDA Margin,0.745521760614,,0.330214692541,,126.427035135,,88.4996291497,,85.9461319307,
EBIT Margin,0.721390461393,,0.32056833534,,96.6650204812,,48.5376514985,,99.9881328074,
Profit Margin,0.457606328032,,0.211628356807,,64.2954133733,,48.5376514985,,68.5559609906,
Free Cash Flow margin,0.610233189873,,0.147379770712,,214.013200254,,68.8487827143,,-32.2237782161,
EBITDA,23518972.0,,18510953.0,,10956799.0,,10858108.0,,7843444.0,
EBIT,22757702.0,14000000,17970204.0,12000000,8377474.0,6000000,5955133.0,6000000,9124917.0,6000000
Consolidated Income,14436105.0,14000000.0,11863320.0,12000000.0,5572162.0,6000000.0,5955133.0,6000000.0,6256417.0,6000000.0
Earnings Before Tax Margin,0.721390461393,,0.32056833534,,96.6650204812,,57.3847388969,,99.9881328074,
Net Profit Margin,0.457606328032,,0.211628356807,,64.2954133733,,48.5376514985,,68.5559609906,
