Date,2018-12-31
Depreciation & Amortization,0.0
Stock-based compensation,0.0
Operating Cash Flow,58610.7091
Capital Expenditure,0.0
Acquisitions and disposals,-62110419.6816
Investment purchases and sales,0.0
Investing Cash flow,-62110419.6816
Issuance (repayment) of debt,0.0
Issuance (buybacks) of shares,108827.7858
Dividend payments,0.0
Financing Cash Flow,62386830.6802
Effect of forex changes on cash,162083.9363
Net cash flow / Change in cash,497105.644
Free Cash Flow,58610.7091
Net Cash/Marketcap,
