Date,2018-05-31,2017-05-31
Depreciation & Amortization,,
Stock-based compensation,0.0,
Operating Cash Flow,-470153.0,-8064.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-52373950.0,
Investing Cash flow,-52373950.0,-52373950.0
Issuance (repayment) of debt,50946.0,368064.0
Issuance (buybacks) of shares,53475100.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,53272166.0,368064.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,428063.0,
Free Cash Flow,-470153.0,
Net Cash/Marketcap,,
