Date,2018-08-31,2017-08-31
Revenue,9415909.0909,4318108.9744
Revenue Growth,1.1806,
Cost of Revenue,-30356060.6061,6959935.8974
Gross Profit,39771969.697,-2641826.9231
R&D Expenses,0.0,0.0
SG&A Expense,8981060.6061,4888621.7949
Operating Expenses,12184090.9091,6253205.1282
Operating Income,27587878.7879,-8895032.0513
Interest Expense,0.0,0.0
Earnings before Tax,19822727.2727,-8725160.2564
Income Tax Expense,4282575.7576,0.0
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,1220454.5455,60897.4359
Net Income,15540151.5152,-8725160.2564
Preferred Dividends,0.0,0.0
Net Income Com,15540151.5152,-8725160.2564
EPS,0.1295,-0.0897
EPS Diluted,0.122,-0.0897
Weighted Average Shs Out,98449435.6061,
Weighted Average Shs Out (Dil),98449435.6061,
Dividend per Share,0.0,0.0
Gross Margin,4.2239,-0.6118
EBITDA Margin,1.8098,-1.3878
EBIT Margin,2.1052,-2.0206
Profit Margin,1.25,-1.6194
Free Cash Flow margin,-1.0209,-1.6652
EBITDA,22495454.5455,-7478365.3846
EBIT,19822727.2727,-8725160.2564
Consolidated Income,15540151.5152,-8725160.2564
Earnings Before Tax Margin,2.1052,-2.0206
Net Profit Margin,1.6504,-2.0206
