Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,56786000.0,14730000.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2.8551255940258,0.0889
Cost of Revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,1290000.0
Gross Profit,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,56786000.0,13440000.0
R&D Expenses,29669000.0,21467000.0,21000000.0,17228000.0,17000000.0,13607000.0,14000000.0,20870000.0,21000000.0,32318000.0,32000000.0,38887000.0,0.0,28495000.0,32344000.0
SG&A Expense,9390000.0,9188000.0,9000000.0,8705000.0,9000000.0,8234000.0,8000000.0,9478000.0,9000000.0,11281000.0,11000000.0,10845000.0,0.0,13194000.0,27778000.0
Operating Expenses,39059000.0,30655000.0,31000000.0,25933000.0,26000000.0,21841000.0,22000000.0,30348000.0,30000000.0,43599000.0,44000000.0,49732000.0,0.0,41689000.0,60122000.0
Operating Income,-39059000.0,-30655000.0,-31000000.0,-25933000.0,-26000000.0,-21841000.0,-22000000.0,-30348000.0,-30000000.0,-43599000.0,-44000000.0,-49732000.0,0.0,15097000.0,-46682000.0
Interest Expense,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Earnings before Tax,0.0,0.0,-30000000.0,0.0,-18000000.0,0.0,-19000000.0,-39411000.0,-39000000.0,-42111000.0,-42000000.0,-49751000.0,0.0,15294000.0,-46494000.0
Income Tax Expense,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,-8821000.0,0.0,0.0,-238000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1166000.0,0.0
Net Income,-38418000.0,-30439000.0,-30000000.0,-17724000.0,-18000000.0,-18703000.0,-19000000.0,-39411000.0,-39000000.0,-42111000.0,-42000000.0,-27075000.0,0.0,15294000.0,-46256000.0
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,-38418000.0,-30439000.0,-30000000.0,-17724000.0,-18000000.0,-18703000.0,-19000000.0,-39411000.0,-39000000.0,-42111000.0,-42000000.0,-27075000.0,0.0,15294000.0,-46256000.0
EPS,-1.65,-1.75,-1.75,-1.22,-1.22,-0.13,-1.30,-0.48,-4.80,-0.67,-6.70,-0.43,0.0,3.9,-12.7
EPS Diluted,-1.65,-1.75,-1.75,-1.22,-1.22,-0.15,-1.50,-0.48,-4.82,-0.67,-6.70,-0.43,0.0,3.9,-12.7
Weighted Average Shs Out,23346231.0,17441280.0,17000000.0,14559541.0,15000000.0,140364684.0,14000000.0,81807706.0,8000000.0,63057142.0,6000000.0,62809219.0,0.0,3887472.0,3641538.0
Weighted Average Shs Out (Dil),23346231.0,17441280.0,17000000.0,14559541.0,15000000.0,147774040.0,15000000.0,81807706.0,8000000.0,63057142.0,6000000.0,62809219.0,0.0,3887472.0,3641538.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1.0,0.9124
EBITDA Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,
EBIT Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.2693,-3.1564
Profit Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,
Free Cash Flow margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,-0.5393,-3.1634
EBITDA,-39013000.0,-30608000.0,-31000000.0,-25905000.0,-26000000.0,-21798000.0,-22000000.0,-30246000.0,-30000000.0,-43215000.0,-43000000.0,-48982000.0,0.0,16867000.0,-44709000.0
EBIT,-39059000.0,-30655000.0,-30000000,-25933000.0,-18000000,-21841000.0,-19000000,-30348000.0,-39000000,-43599000.0,-42000000,-49732000.0,0.0,15294000.0,-46494000.0
Consolidated Income,-38418000.0,-30439000.0,-30000000.0,-17724000.0,-18000000.0,-18703000.0,-19000000.0,-39411000.0,-39000000.0,-42111000.0,-42000000.0,-27075000.0,0.0,15294000.0,-46256000.0
Earnings Before Tax Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.2693,-3.1564
Net Profit Margin,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.2693,-3.1403
