Date,2018-12-31,2017-12-31,2016-12-31
Revenue,157947073.3719,159039256.1971,62531316.6307
Revenue Growth,-0.00686737885548497,1.54335371085117,
Cost of Revenue,62237197.8292,58351560.1572,24484431.1015
Gross Profit,95709875.5427,100687696.0399,38046885.5292
R&D Expenses,6759625.7598,2935093.1076,719919.9424
SG&A Expense,46066621.563,32560760.8827,10667638.3009
Operating Expenses,52775056.1505,29621175.3325,11494667.5306
Operating Income,42934819.3922,71066520.7074,26552217.9986
Interest Expense,2751174.5297,1963969.7703,64750.18
Earnings before Tax,56696761.0709,69590811.8198,26194427.0698
Income Tax Expense,12891831.259,18047611.8501,7633450.252
Net Income - Non-Controlling int,612484.8046,1216387.6965,658758.5313
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,43804929.8119,51543199.9698,18560976.8179
Preferred Dividends,0.0,0.0,0.0
Net Income Com,43804929.8119,51543199.9698,18560976.8179
EPS,0.4081,0.1469,
EPS Diluted,0.33,0.4081,0.1469
Weighted Average Shs Out,43735150.7959,45678641.4752,43514743.2685
Weighted Average Shs Out (Dil),40398949.9276,45678641.4752,43514743.2685
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.606,0.6331,0.6084
EBITDA Margin,0.0554,0.0685,0.0609
EBIT Margin,0.3764,0.4499,0.4199
Profit Margin,0.0401,0.049,0.0428
Free Cash Flow margin,0.1561,0.5512,0.1863
EBITDA,60488487.8437,72003885.7316,26475361.5551
EBIT,59447935.6006,71554781.5901,26259177.2498
Consolidated Income,44417414.6165,52759587.6663,19219735.3492
Earnings Before Tax Margin,0.359,0.4376,0.4189
Net Profit Margin,0.2773,0.3241,0.2968
