Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Depreciation & Amortization,60203400.0,67975000.0,68000000.0,104822000.0,105000000.0,98171000.0,98000000.0,63944000.0,64000000.0,46441000.0,46000000.0,0.0
Stock-based compensation,1231000.0,2700000.0,,6400000.0,,5800000.0,,200000.0,,2900000.0,,0.0
Operating Cash Flow,38488000.0,-4404000.0,-4000000.0,30885000.0,31000000.0,162706000.0,163000000.0,108316000.0,108000000.0,45705000.0,46000000.0,64507000.0
Capital Expenditure,0.0,0.0,-56000000.0,8600000.0,-249000000.0,11700000.0,-391000000.0,322788000.0,-323000000.0,230340000.0,-230000000.0,0.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,0.0,9000000,0.0,-4000000,0.0
Investing Cash flow,-85512000.0,4651000.0,5000000.0,-155446000.0,-155000000.0,-560036000.0,-560000000.0,-313518000.0,-314000000.0,-100742000.0,-101000000.0,-276574000.0
Issuance (repayment) of debt,-145170000.0,-65230000.0,-66000000.0,-108335000.0,-110000000.0,-263152000.0,-266000000.0,-8480000.0,-10000000.0,-351000000.0,-352000000.0,-25000000.0
Issuance (buybacks) of shares,-15247000.0,-3697000.0,,-1091000.0,,-17978000.0,,-1900000.0,,26608000.0,,-11796000.0
Dividend payments,-0.0,-0.0,,-9660000.0,,-2335000.0,,-0.0,,-0.0,,-0.0
Financing Cash Flow,58574000.0,2359000.0,2000000.0,107556000.0,108000000.0,413526000.0,414000000.0,163127000.0,163000000.0,87216000.0,87000000.0,212855000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net cash flow / Change in cash,11550000.0,2606000.0,3000000.0,-17005000.0,-17000000.0,16196000.0,16000000.0,-42075000.0,-42000000.0,32179000.0,32000000.0,788000.0
Free Cash Flow,38488000.0,-4404000.0,-60000000.0,22285000.0,-218000000.0,151006000.0,-229000000.0,-214472000.0,-214000000.0,-184635000.0,-185000000.0,64507000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
