Date,2018-12-31,2017-12-31
Depreciation & Amortization,8316.0,7932.0
Stock-based compensation,329184.0,395440.0
Operating Cash Flow,-15250234.0,-14002118.0
Capital Expenditure,-3702.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-3702.0,0.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,2097.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,56366742.0,23343863.0
Effect of forex changes on cash,161637.0,1394568.0
Net cash flow / Change in cash,41112806.0,9341745.0
Free Cash Flow,-15253936.0,-14002118.0
Net Cash/Marketcap,,
