Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-06-30,2014-06-30
Depreciation & Amortization,7810000.0,5423000.0,3286000.0,,735000.0,240000.0
Stock-based compensation,16202000.0,10804000.0,8821000.0,,7078000.0,332000.0
Operating Cash Flow,-104388000.0,-54315000.0,-48168000.0,36835000.0,-31607000.0,-29666000.0
Capital Expenditure,3910000.0,24643000.0,11506000.0,-1366000.0,-12745000.0,-4958000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,,0.0,0.0
Investment purchases and sales,-12749000.0,-124244000.0,0.0,,-53879000.0,0.0
Investing Cash flow,-17457000.0,-126081000.0,17755000.0,-1366000.0,-41427000.0,-58837000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,-1290000.0,0.0,0.0
Issuance (buybacks) of shares,31274000.0,19124000.0,-158779000.0,16004000.0,189376000.0,175989000.0
Dividend payments,-0.0,-0.0,-0.0,0.0,0.0,0.0
Financing Cash Flow,102690000.0,103568000.0,17000.0,14714000.0,175989000.0,274861000.0
Effect of forex changes on cash,3335000.0,2328000.0,-5579000.0,,-8491000.0,996000.0
Net cash flow / Change in cash,-15820000.0,-74500000.0,-35975000.0,,177867000.0,51179000.0
Free Cash Flow,-108298000.0,-78958000.0,-59674000.0,,-34624000.0,35469000.0
Net Cash/Marketcap,0.0,0.0,0.0,,0.3998,0.3998
