Date,2019-03-31,2018-03-31,2017-03-31,2017-02-28,2016-02-29,2015-02-28
Revenue,0.0,0.0,,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0
R&D Expenses,28846616.5414,12137103.0209,,5516793.8931,5592017.7384,7051958.4333
SG&A Expense,4999248.1203,3119287.3741,,2492366.4122,1512195.122,2856115.1079
Operating Expenses,33845864.6617,15256390.395,9908073.5412,7755147.2682,8009160.3053,7104212.8603
Operating Income,-33845864.6617,-15256390.395,-9908073.5412,-7755147.2682,-8009160.3053,-7104212.8603
Interest Expense,4925563.9098,1400464.756,0.0,-26980.4392,87786.2595,0.0
Earnings before Tax,-38771428.5714,-16656855.151,,-8096946.5649,-4668883.9616,-1322941.6467
Income Tax Expense,0.0,0.0,,-98473.2824,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,0.0,0.0
Net Income,-38771428.5714,-16656855.151,,-7998473.2824,-4668883.9616,-1322941.6467
Preferred Dividends,0.0,0.0,,0.0,0.0,0.0
Net Income Com,-38771428.5714,-16656855.151,,-7998473.2824,-4668883.9616,-1322941.6467
EPS,-0.7143,-0.9527,,-0.7405,-0.4361,-0.1279
EPS Diluted,-0.7143,-0.9527,,-0.7405,-0.4361,-0.1279
Weighted Average Shs Out,19276853.3835,11388501.9365,,,,
Weighted Average Shs Out (Dil),40819770.6767,13544938.0325,,8235171.7557,7878740.5765,8487373.3014
Dividend per Share,0.0,0.0,,0.0,0.0,0.0
Gross Margin,0.0,0.0,,0.0,0.0,0.0
EBITDA Margin,,,,,,
EBIT Margin,0.0,0.0,,0.0,0.0,0.0
Profit Margin,,,,,,
Free Cash Flow margin,0.0,0.0,,0.0,0.0,0.0
EBITDA,-31720300.7519,-13186676.9946,,-6091603.0534,-2898743.5329,543565.1479
EBIT,-33845864.6617,-15256390.395,-1322941.6467,-7755147.2682,-8009160.3053,-4668883.9616
Consolidated Income,-38771428.5714,-16656855.151,,-7998473.2824,-4668883.9616,-1322941.6467
Earnings Before Tax Margin,0.0,0.0,,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,,0.0,0.0,0.0
