Date,2019-06-30,2018-06-30
Revenue,30159000.0,0.0
Revenue Growth,0.0,
Cost of Revenue,22125000.0,0.0
Gross Profit,8034000.0,0.0
R&D Expenses,12232000.0,8276000.0
SG&A Expense,16461000.0,10320000.0
Operating Expenses,41976000.0,27350000.0
Operating Income,-33942000.0,-27350000.0
Interest Expense,6698000.0,6024000.0
Earnings before Tax,-48873000.0,-17735000.0
Income Tax Expense,2335000.0,308000.0
Net Income - Non-Controlling int,2026000.0,701000.0
Net Income - Discontinued ops,27491000.0,5154000.0
Net Income,-51208000.0,-18043000.0
Preferred Dividends,0.0,0.0
Net Income Com,-51208000.0,-18043000.0
EPS,-0.11,-0.11
EPS Diluted,-0.11,-0.11
Weighted Average Shs Out,461705640.0,
Weighted Average Shs Out (Dil),461705640.0,156263227.0
Dividend per Share,0.0,0.0
Gross Margin,0.2664,0.0
EBITDA Margin,-1.398,
EBIT Margin,-1.3984,0.0
Profit Margin,-1.698,
Free Cash Flow margin,-4.1771,0.0
EBITDA,-42175000.0,-11711000.0
EBIT,-42175000.0,-11711000.0
Consolidated Income,-49182000.0,-17342000.0
Earnings Before Tax Margin,-1.6205,0.0
Net Profit Margin,-1.6979,0.0
