Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,1058207000.0,0.0,0.0,0.0,926666000.0,651871000.0,466880000.0
Revenue Growth,0.0,0.0,0.0,-1,0.421548128387365,0.396228152844414,
Cost of Revenue,891041000.0,804372000.0,801192000.0,841312000.0,593303000.0,426633000.0,309828000.0
Gross Profit,167166000.0,-804372000.0,-801192000.0,-841312000.0,333363000.0,225238000.0,157052000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,30460000.0,31552000.0,32018000.0,25556000.0,40369000.0,26188000.0,19820000.0
Operating Expenses,35342000.0,37400000.0,37465000.0,30760000.0,238912000.0,213523000.0,132582000.0
Operating Income,131824000.0,103505000.0,111503000.0,104072000.0,94451000.0,11715000.0,24470000.0
Interest Expense,51402000.0,46294000.0,48113000.0,50816000.0,57427000.0,52792000.0,45061000.0
Earnings before Tax,204525000.0,108649000.0,91807000.0,95426000.0,115664000.0,-47849000.0,-42451000.0
Income Tax Expense,5993000.0,7833000.0,5077000.0,6295000.0,5865000.0,3619000.0,3695000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,5689000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,-75120000.0,5626000.0,12661000.0
Net Income,193688000.0,98862000.0,85855000.0,88758000.0,109799000.0,-51468000.0,-46146000.0
Preferred Dividends,0.0,0.0,0.0,12000.0,0.0,0.0,0.0
Net Income Com,193688000.0,98862000.0,85855000.0,88758000.0,109799000.0,-51468000.0,-46146000.0
EPS,1.75,0.92,0.79,0.79,0.97,-0.45,
EPS Diluted,1.75,0.92,0.79,0.79,0.97,-0.45,
Weighted Average Shs Out,110124142.0,106767108.0,108012708.0,111989686.0,111664641.0,,
Weighted Average Shs Out (Dil),110377734.0,107019152.0,108142998.0,112138223.0,113397997.0,113397997.0,
Dividend per Share,1.1028764189,1.10673648395,1.06460891717,0.603772720743,0.0,0.0,0.0
Gross Margin,0.157970982993,0.0,0.0,0.0,0.3597,0.3455,0.3364
EBITDA Margin,0.276444022767,0.0,0.0,0.0,0.373,0.241,0.339
EBIT Margin,0.124572980523,0.0,0.0,0.0,0.1868,0.0076,0.0056
Profit Margin,0.183034132263,0.0,0.0,0.0,0.118,-0.079,-0.099
Free Cash Flow margin,0.24021198121,0.0,0.0,0.0,0.1158,0.1823,0.1453
EBITDA,292535000.0,259792000.0,268170000.0,255961000.0,346055000.0,157240000.0,158387000.0
EBIT,131824000.0,103505000.0,111503000.0,104072000.0,173091000.0,4943000.0,2610000.0
Consolidated Income,193688000.0,98862000.0,85855000.0,88758000.0,109799000.0,-51468000.0,-40457000.0
Earnings Before Tax Margin,0.193275039761,0.0,0.0,0.0,0.1248,-0.0734,-0.0909
Net Profit Margin,0.183034132263,0.0,0.0,0.0,0.1185,-0.079,-0.0988
