Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,0.0
Stock-based compensation,272000.0,32000.0
Operating Cash Flow,-11182000.0,-3195000.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,0.0,0.0
Issuance (repayment) of debt,5560000.0,0.0
Issuance (buybacks) of shares,47000.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,26653000.0,6470000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,15471000.0,3275000.0
Free Cash Flow,-11182000.0,-3195000.0
Net Cash/Marketcap,0.0916,0.0916
