Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Revenue,1333554000.0,1334000000.0,1076794000.0,1077000000.0,846589000.0,847000000.0,644677000.0,645000000.0,326000000.0
Revenue Growth,-0.000334332833583208,0.238862772266562,-0.000191272051996286,0.272163942597884,-0.000485242030696576,0.313836231166925,-0.00050077519379845,0.978527607361963,
Cost of Revenue,236937000.0,,235076000.0,,36946000.0,,94093000.0,,
Gross Profit,1096617000.0,,841718000.0,,809643000.0,,550584000.0,,
R&D Expenses,410818000.0,,319985000.0,,273066000.0,,198565000.0,,
SG&A Expense,814774000.0,815000000.0,659017000.0,659000000.0,694614000.0,695000000.0,477534000.0,478000000.0,233000000.0
Operating Expenses,1225592000.0,,1003592000.0,,1002497000.0,,700115000.0,,
Operating Income,-128975000.0,-46000000.0,-161874000.0,13000000.0,-192854000.0,-193000000.0,-149531000.0,-93000000.0,-23000000.0
Interest Expense,0.0,,0.0,,0.0,,5489000.0,,
Earnings before Tax,-150960000.0,,-184006000.0,,-220308000.0,,-153519000.0,,
Income Tax Expense,-31102000.0,-31000000.0,-89586000.0,-90000000.0,130000.0,0000000.0,-4645000.0,-5000000.0,000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,
Net Income,-119858000.0,-120000000.0,-94420000.0,-94000000.0,-220438000.0,-220000000.0,-148874000.0,-149000000.0,-44000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,
Net Income Com,-119858000.0,-120000000.0,-94420000.0,-94000000.0,-220438000.0,-220000000.0,-148874000.0,-149000000.0,-44000000.0
EPS,-0.61,-0.61,-0.51,-0.51,-1.22,-1.22,-0.88,-0.88,-0.36
EPS Diluted,-0.61,-0.61,-0.51,-0.51,-1.22,-1.22,-0.88,-0.88,-0.36
Weighted Average Shs Out,197944000.0,198000000.0,186453000.0,186000000.0,180149000.0,180000000.0,169767000.0,170000000.0,120000000.0
Weighted Average Shs Out (Dil),197944000.0,198000000.0,186453000.0,186000000.0,180149000.0,180000000.0,169767000.0,170000000.0,120000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,
Gross Margin,0.822326654939,0,0.781688976722,0,0.956358988836,0,0.854046289847,0,0
EBITDA Margin,-0.0982487398336,-0.007496251874063,-0.0243231295865,-0.042711234911792,-0.104137899264,-0.13223140495868,-0.107193214587,-0.11317829457364,0.03680981595092
EBIT Margin,-0.0967152436272,-0.11319340329835,-0.150329589504,-0.17084493964717,-0.227801211686,-0.25974025974026,-0.231947161137,-0.23875968992248,-0.13496932515337
Profit Margin,-0.0898786250875,-0.089955022488756,-0.087686224106,-0.08727948003714,-0.260383728114,-0.25974025974026,-0.230928046138,-0.23100775193798,-0.13496932515337
Free Cash Flow margin,-0.0466452802061,,0.177808383033,,-0.0630943704678,,-0.0501367351402,,
EBITDA,-131020000.0,-10000000.0,-26191000.0,-46000000.0,-88162000.0,-112000000.0,-69105000.0,-73000000.0,12000000.0
EBIT,-128975000.0,-151000000,-161874000.0,-184000000,-192854000.0,-220000000,-149531000.0,-154000000,-44000000
Consolidated Income,-119858000.0,-120000000.0,-94420000.0,-94000000.0,-220438000.0,-220000000.0,-148874000.0,-149000000.0,-44000000.0
Earnings Before Tax Margin,-0.113201265191,0,-0.170883195857,0,-0.26023017072,0,-0.23813320469,0,0
Net Profit Margin,-0.0898786250875,-0.089955022488756,-0.087686224106,-0.08727948003714,-0.260383728114,-0.25974025974026,-0.230928046138,-0.23100775193798,-0.13496932515337
