Date,2019-01-31,2018-01-31
Cash and cash equivalents,44876000.0,42699000.0
Short-term investments,0.0,17388000.0
Cash and short-term investments,44876000.0,60087000.0
Receivables,106120000.0,90642000.0
Inventories,0.0,0.0
Total current assets,182465000.0,177792000.0
Property Plant & Equipment Net,42989000.0,42834000.0
Goodwill and Intangible Assets,17050000.0,17412000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,97719000.0,87390000.0
Total assets,280184000.0,265182000.0
Payables,1007000.0,652000.0
Short-term debt,0.0,0.0
Total current liabilities,244221000.0,194299000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,211817000.0,168937000.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,42521000.0,35826000.0
Total liabilities,286742000.0,230125000.0
Other comprehensive income,-1096000.0,-1120000.0
Retained earnings (deficit),-368640000.0,-286219000.0
Total shareholders equity,-6558000.0,35057000.0
Investments,0.0,17388000.0
Net Debt,-44876000.0,-60087000.0
Other Assets,31469000.0,27063000.0
Other Liabilities,243214000.0,193647000.0
