Date,2019-02-01,2018-02-02,2017-02-03,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,8974000000.0,7922000000.0,,7093000000.0,6571000000.0,6035000000.0,5207000000.0,0.0,4605047000.0,3767096000.0,1455919000.0,2023937000.0
Revenue Growth,0.132794748800808,0.0,0.0,0.0794399634758789,0.0888152444076222,0.159016708277319,0.0,-1,0.222439513089128,1.58743515264242,-0.280650039996304,0.076
Cost of Revenue,191000000.0,984000000.0,,894000000.0,832000000.0,725000000.0,520000000.0,0.0,484296000.0,414589000.0,316257000.0,359728000.0
Gross Profit,8783000000.0,6938000000.0,1664209000.0,6199000000.0,5739000000.0,5310000000.0,4687000000.0,0.0,4120751000.0,3352507000.0,1139662000.0,2363628000.0
R&D Expenses,1975000000.0,1755000000.0,,1503000000.0,1300000000.0,1239000000.0,1082000000.0,0.0,999214000.0,775051000.0,652968000.0,496552000.0
SG&A Expense,967000000.0,851000000.0,,884000000.0,934000000.0,867000000.0,563000000.0,0.0,2012567000.0,1634887000.0,1282667000.0,948362000.0
Operating Expenses,2942000000.0,2606000000.0,1442035000.0,2387000000.0,2234000000.0,2106000000.0,1645000000.0,0.0,3011781000.0,2409938000.0,1935635000.0,1949817000.0
Operating Income,2050000000.0,1689000000.0,222174000.0,1439000000.0,1197000000.0,1027000000.0,1093000000.0,0.0,871943000.0,735171000.0,427993000.0,413811000.0
Interest Expense,134000000.0,74000000.0,6958000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069000.0
Earnings before Tax,2883000000.0,1801000000.0,,1473000000.0,1213000000.0,1048000000.0,160000000.0,0.0,893114000.0,794413000.0,416375000.0,223449000.0
Income Tax Expense,461000000.0,1231000000.0,,287000000.0,216000000.0,162000000.0,133000000.0,0.0,147412000.0,70477000.0,58936000.0,26351000.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,2422000000.0,570000000.0,,1186000000.0,997000000.0,886000000.0,1014000000.0,0.0,745702000.0,723936000.0,357439000.0,197098000.0
Preferred Dividends,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,2422000000.0,570000000.0,,1186000000.0,997000000.0,886000000.0,1014000000.0,0.0,745702000.0,723936000.0,357439000.0,197098000.0
EPS,5.94,1.4,,2.82,2.35,2.06,2.36,0.0,1.75,1.72,0.87,0.5
EPS Diluted,5.85,1.38,,2.78,2.34,2.04,2.34,0.0,1.72,1.68,0.84,0.49
Weighted Average Shs Out,407766000.0,406738000.0,,420520000.0,424003000.0,430355000.0,429093000.0,0.0,426658000.0,421188000.0,409805000.0,401610119.0
Weighted Average Shs Out (Dil),414267000.0,413368000.0,,423994000.0,426547000.0,434513000.0,433415000.0,0.0,433974000.0,431750000.0,423446000.0,394269000.0
Dividend per Share,26.5529235976,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.978716291509,0.875788942186,,0.873960242493,0.87338304672,0.879867439934,0.900134434415,0.0,0.894833646649,0.889944668254,0.782778437537,0.8223
EBITDA Margin,0.298640517049,0.255617268367,,0.25151557874,0.233145639933,0.22734051367,0.274630305358,0.0,0.266405750039,0.279005897381,0.472927408736,0.212
EBIT Margin,0.228437708937,0.21320373643,,0.202876075004,0.182164054177,0.170173985087,0.209909736893,0.0,0.189345081603,0.195155897275,0.29396759023,0.1138
Profit Margin,0.269890795632,0.0719515273921,,0.167207105597,0.151727286562,0.146810273405,0.19473785289,0.0,0.161931463457,0.192173493853,0.245507476721,0.097
Free Cash Flow margin,0.380878092267,0.372128250442,,0.314112505287,0.238319890428,0.30289975145,0.420587670444,0.0,0.36113985373,0.476638238049,0.71617583121,0.402
EBITDA,2680000000.0,2025000000.0,,1784000000.0,1532000000.0,1372000000.0,1430000000.0,0.0,1226811000.0,1051042000.0,688544000.0,428893000.0
EBIT,2050000000.0,1689000000.0,230407000.0,1439000000.0,1197000000.0,1027000000.0,1093000000.0,0.0,871943000.0,735171000.0,427993000.0,420444000.0
Consolidated Income,2422000000.0,570000000.0,,1186000000.0,997000000.0,886000000.0,1014000000.0,0.0,745702000.0,723936000.0,357439000.0,197098000.0
Earnings Before Tax Margin,0.321261421885,0.227341580409,,0.207669533343,0.184598995587,0.173653686827,0.0307278663338,0.0,0.193942428818,0.210882069371,0.285987750692,0.1104
Net Profit Margin,0.269890795632,0.0719515273921,,0.167207105597,0.151727286562,0.146810273405,0.19473785289,0.0,0.161931463457,0.192173493853,0.245507476721,0.0974
