Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12-31,2013-12,2010-12-31
Revenue,2428000000.0,2428000000.0,4481900000.0,4482000000.0,5146100000.0,5146000000.0,7965000000.0,245900000.0,7117000000.0,0.0
Revenue Growth,0,-0.458265467770365,-0.0000223114680946006,-0.129049182876353,0.0000194325689856199,-0.353923414940364,31.3912159414396,-0.965448925108894,0.0,0.0
Cost of Revenue,952000000.0,290000000.0,3285100000.0,1939000000.0,3490100000.0,2636000000.0,5470000000.0,5457900000.0,5344000000.0,6425900000.0
Gross Profit,1476000000.0,2138000000.0,1196800000.0,2543000000.0,1656000000.0,2511000000.0,2495000000.0,-5212000000.0,1774000000.0,-6425900000.0
R&D Expenses,0.0,,0.0,,0.0,,,0.0,,0.0
SG&A Expense,355000000.0,,3562800000.0,,3471000000.0,,,5894000000.0,,6545400000.0
Operating Expenses,355000000.0,1091000000.0,868700000.0,1447000000.0,974400000.0,1508000000.0,1408000000.0,1218800000.0,1333000000.0,1182900000.0
Operating Income,1121000000.0,1047000000.0,328100000.0,1096000000.0,681600000.0,1003000000.0,1087000000.0,440400000.0,440000000.0,127300000.0
Interest Expense,-8000000.0,525000000.0,900000.0,446000000.0,4900000.0,322000000.0,403000000.0,18700000.0,320000000.0,7900000.0
Earnings before Tax,237000000.0,,-161500000.0,,136900000.0,,,23400000.0,,-190600000.0
Income Tax Expense,-8000000.0,-8000000.0,900000.0,1000000.0,4900000.0,5000000.0,10000000.0,18700000.0,19000000.0,7900000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,0.0,,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,0.0,,0.0
Net Income,245000000.0,282000000.0,-162400000.0,-68000000.0,132000000.0,233000000.0,477000000.0,4700000.0,72000000.0,-198500000.0
Preferred Dividends,29000000.0,,90000000.0,,90000000.0,,,58200000.0,,0.0
Net Income Com,245000000.0,282000000.0,-162400000.0,-68000000.0,132000000.0,233000000.0,477000000.0,4700000.0,72000000.0,-198500000.0
EPS,0.0,0.50,-1.08,-1.08,-0.25,-0.25,0.67,-0.39,-0.39,0.0
EPS Diluted,0.0,0.50,-1.08,-1.08,-0.25,-0.25,0.67,-0.39,-0.39,0.0
Weighted Average Shs Out,400000000.0,400000000.0,348000000.0,348000000.0,339100000.0,339000000.0,328000000.0,316200000.0,316000000.0,119600000.0
Weighted Average Shs Out (Dil),400000000.0,400000000.0,348000000.0,348000000.0,339100000.0,339000000.0,328000000.0,316200000.0,316000000.0,119600000.0
Dividend per Share,0.8925,,0.0,,0.0,,,0.0,,0.0
Gross Margin,0.607907742998,0.88056013179572,0.267029607979,0.56738063364569,0.321797089058,0.48795180722892,0.31324544883867,-21.1956079707,0.24926232963327,0.0
EBITDA Margin,0.658978583196,0.68657331136738,0.211785180392,0.21999107541276,0.240084724354,0.25592693354061,0.20225988700565,3.36884912566,0.12477167345792,0.0
EBIT Margin,0.461696869852,0.32907742998353,0.0732055601419,0.084560464078536,0.132449816366,0.10882238631947,0.11173885750157,1.79097193981,0.057749051566671,0.0
Profit Margin,0.100906095552,0.1161449752883,-0.0362346326335,-0.015171798304328,0.0256504926061,0.045277885736494,0.059887005649718,0.0191134607564,0.010116622172264,0.0
Free Cash Flow margin,0.0267710049423,,0.0723800174033,,-0.211033598259,,,-4.86986579911,,0.0
EBITDA,1600000000.0,1667000000.0,949200000.0,986000000.0,1235500000.0,1317000000.0,1611000000.0,828400000.0,888000000.0,438500000.0
EBIT,1121000000.0,799000000,328100000.0,379000000,681600000.0,560000000,890000000,440400000.0,411000000,127300000.0
Consolidated Income,245000000.0,282000000.0,-162400000.0,-68000000.0,132000000.0,233000000.0,477000000.0,4700000.0,72000000.0,-198500000.0
Earnings Before Tax Margin,0.0976112026359,0,-0.0360338249403,0,0.0266026699831,0,0,0.0951606344042,0,0.0
Net Profit Margin,0.100906095552,0.1161449752883,-0.0362346326335,-0.015171798304328,0.0256504926061,0.045277885736494,0.059887005649718,0.0191134607564,0.010116622172264,0.0
