Date,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31
Revenue,7492000000.0,0.0,7355000000.0,0.0,6895000000.0,0.0,5971000000.0,32000.0,5773000000.0,349779000.0,258268000.0
Revenue Growth,0.0,-1,0.0,-1,0.0,-1,186592.75,-0.99999445695479,15.5047072580115,0.354325739154677,0.0
Cost of Revenue,2644000000.0,0.0,2631000000.0,0.0,2488000000.0,0.0,2129000000.0,0.0,2006000000.0,0.0,0.0
Gross Profit,4848000000.0,0.0,4724000000.0,0.0,4407000000.0,0.0,3842000000.0,0.0,3767000000.0,0.0,0.0
R&D Expenses,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,2916000000.0,48537000.0,2856000000.0,32627000.0,2736000000.0,31447000.0,2409000000.0,39992000.0,2401000000.0,35625000.0,24032000.0
Operating Expenses,2916000000.0,259459000.0,2856000000.0,255984000.0,2736000000.0,931348000.0,2409000000.0,442045000.0,2401000000.0,483647000.0,218084000.0
Operating Income,1932000000.0,44019000.0,1868000000.0,-91506000.0,1671000000.0,-776704000.0,1433000000.0,-112674000.0,1366000000.0,-133868000.0,40184000.0
Interest Expense,197000000.0,-293000.0,162000000.0,91000.0,175000000.0,-22354000.0,152000000.0,-4140000.0,147000000.0,-64679000.0,11881000.0
Earnings before Tax,1720000000.0,-1526000.0,1734000000.0,-161631000.0,1473000000.0,-764633000.0,1312000000.0,-25990000.0,1229000000.0,-178485000.0,29857000.0
Income Tax Expense,292000000.0,-293000.0,67000000.0,91000.0,304000000.0,-22354000.0,298000000.0,-4140000.0,269000000.0,-64679000.0,11881000.0
Net Income - Non-Controlling int,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,1422000000.0,-1233000.0,1659000000.0,-161722000.0,1161000000.0,-742279000.0,1008000000.0,-21850000.0,955000000.0,-113806000.0,17976000.0
Preferred Dividends,,6475000.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,1422000000.0,-1233000.0,1659000000.0,-161722000.0,1161000000.0,-742279000.0,1008000000.0,-21850000.0,955000000.0,-113806000.0,17976000.0
EPS,0.71,-0.35,0.82,-10.33,0.56,-9.91,0.46,-0.3,0.43,-1.67,0.3
EPS Diluted,0.71,-0.35,0.81,-10.33,0.56,-9.91,0.46,-0.3,0.42,-1.67,0.3
Weighted Average Shs Out,1977000000.0,21889000.0,2019000000.0,15767000.0,2062000000.0,74932000.0,2109000000.0,73798000.0,1840000000.0,68260000.0,59424000.0
Weighted Average Shs Out (Dil),1991000000.0,21889000.0,2035000000.0,15767000.0,2080000000.0,74932000.0,2128000000.0,73798000.0,1861000000.0,68260000.0,59424000.0
Dividend per Share,,0.237790671113,,0.0,,0.0,,0.0,,0.0,0.0
Gross Margin,0.64709022957822,0.0,0.64228416043508,0.0,0.63915881073241,0.0,0.64344330932842,0.0,0.65252035336913,0.0,0.0
EBITDA Margin,0.34276561665777,0.0,0.33732154996601,0.0,0.3258883248731,0.0,0.33227265114721,681.78125,0.32825220855708,-0.043007155947,0.465752629052
EBIT Margin,0.25507207688201,0.0,0.25669612508498,0.0,0.23785351704133,0.0,0.24418020432088,-3521.0625,0.23748484323575,-0.382721661392,0.155590317035
Profit Margin,0.18980245595302,0.0,0.22556084296397,0.0,0.16838288614938,0.0,0.16881594372802,-682.8125,0.16542525549974,-0.325365445038,0.0696021187294
Free Cash Flow margin,,0.0,,0.0,,0.0,,4483.375,,0.381177829429,0.29725324082
EBITDA,2568000000.0,145444000.0,2481000000.0,-35804000.0,2247000000.0,-670788000.0,1984000000.0,21817000.0,1895000000.0,-15043000.0,120289000.0
EBIT,1911000000,44019000.0,1888000000,-91506000.0,1640000000,-776704000.0,1458000000,-112674000.0,1371000000,-133868000.0,40184000.0
Consolidated Income,1422000000.0,-1233000.0,1659000000.0,-161722000.0,1161000000.0,-742279000.0,1008000000.0,-21850000.0,955000000.0,-113806000.0,17976000.0
Earnings Before Tax Margin,0.22957821676455,0.0,0.23575798776343,0.0,0.21363306744017,0.0,0.21972868866187,-812.1875,0.21288758011433,-0.510279347817,0.115604720678
Net Profit Margin,0.18980245595302,0.0,0.22556084296397,0.0,0.16838288614938,0.0,0.16881594372802,-682.8125,0.16542525549974,-0.325365445038,0.0696021187294
