Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,134776000.0,146630000.0,185323000.0,143180000.0,10623000.0
Short-term investments,234179000.0,182509000.0,0.0,0.0,0.0
Cash and short-term investments,368955000.0,329139000.0,185323000.0,143180000.0,10623000.0
Receivables,0.0,0.0,0.0,1019000.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,374776000.0,332199000.0,187183000.0,144985000.0,10716000.0
Property Plant & Equipment Net,40232000.0,39442000.0,40378000.0,2130000.0,1112000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,8956000.0,9551000.0,13918000.0,0.0,0.0
Total non-current assets,45610000.0,41061000.0,41999000.0,4378000.0,1472000.0
Total assets,420386000.0,373260000.0,229182000.0,149363000.0,12188000.0
Payables,5327000.0,4020000.0,4640000.0,1381000.0,2595000.0
Short-term debt,2048000.0,900000.0,986000.0,0.0,67000.0
Total current liabilities,35900000.0,36707000.0,33083000.0,6925000.0,6161000.0
Long-term debt,32417000.0,33431000.0,35096000.0,0.0,344000.0
Total debt,34465000.0,34331000.0,36082000.0,0.0,411000.0
Deferred revenue,15712000.0,13238000.0,26000000.0,25321000.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,263938000.0,161904000.0,96208000.0,25637000.0,547000.0
Total liabilities,184224000.0,165180000.0,94575000.0,32562000.0,6708000.0
Other comprehensive income,652464000,514002000,320129000,0.0,0.0
Retained earnings (deficit),-416278000.0,-305850000.0,-185526000.0,-88348000.0,-15448000.0
Total shareholders equity,236162000.0,208080000.0,134607000.0,-83114000.0,-15292000.0
Investments,234179000.0,182509000.0,0.0,0.0,0.0
Net Debt,-100311000.0,-112299000.0,-149241000.0,-143180000.0,-10212000.0
Other Assets,0.0,0.0,0.0,786000.0,93000.0
Other Liabilities,0.0,0.0,0.0,5544000.0,3499000.0
