Date,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2012-06-30
Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,2239000.0,,2944000.0,,3175000.0,,2663000.0,,3086000.0,,3277000.0,3644000.0
Operating Expenses,2239000.0,,2944000.0,,3175000.0,,2663000.0,,3086000.0,,3277000.0,3644000.0
Operating Income,2191000.0,,2350000.0,,495000.0,,9827000.0,,423000.0,,-255000.0,-1712000.0
Interest Expense,4078000.0,,3321000.0,,2830000.0,,3076000.0,,3681000.0,,4764000.0,6090000.0
Earnings before Tax,6153000.0,,3389000.0,,534000.0,,1506000.0,,423000.0,,-255000.0,-1712000.0
Income Tax Expense,3962000.0,,1039000.0,,39000.0,,-8321000.0,,0.0,,0.0,0.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,2191000.0,2000000.0,2350000.0,2000000.0,495000.0,0000000.0,9827000.0,10000000.0,423000.0,0000000.0,-255000.0,-1712000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,2191000.0,2000000.0,2350000.0,2000000.0,495000.0,0000000.0,9827000.0,10000000.0,423000.0,0000000.0,-255000.0,-1712000.0
EPS,0.9,0.90,0.98,0.98,0.2,0.20,3.97,3.97,0.17,0.17,-0.1,-0.7
EPS Diluted,0.9,0.90,0.97,0.97,0.2,0.20,3.97,3.97,0.17,0.17,-0.1,-0.7
Weighted Average Shs Out,2423882.0,2000000.0,2402106.0,2000000.0,2452455.0,2000000.0,0.0,2000000.0,0.0,2000000.0,0.0,0.0
Weighted Average Shs Out (Dil),2430271.0,2000000.0,2425512.0,2000000.0,2459526.0,2000000.0,0.0,2000000.0,0.0,2000000.0,0.0,0.0
Dividend per Share,0.432050582013,,0.51535510853,,0.27647603644,,0.0,,0.0,,0.0,0.0
Gross Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBIT Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
EBITDA,2571000.0,,2759000.0,,734000.0,,9916000.0,,306000.0,,75000.0,-739000.0
EBIT,2191000.0,2000000,2350000.0,2000000,495000.0,0,9827000.0,10000000,423000.0,0,-255000.0,-1712000.0
Consolidated Income,2191000.0,2000000.0,2350000.0,2000000.0,495000.0,0000000.0,9827000.0,10000000.0,423000.0,0000000.0,-255000.0,-1712000.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Profit Margin,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
