Date,2018-12-31,2017-12-31
Depreciation & Amortization,682292.0,59000.0
Stock-based compensation,0.0,
Operating Cash Flow,-10035531.0,-5783000.0
Capital Expenditure,-5646505.0,-2091000.0
Acquisitions and disposals,0.0,
Investment purchases and sales,2312.0,
Investing Cash flow,-6061987.0,12803000.0
Issuance (repayment) of debt,14962752.0,
Issuance (buybacks) of shares,10516197.0,
Dividend payments,0.0,
Financing Cash Flow,25478949.0,9082000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,9381431.0,16102000.0
Free Cash Flow,-15682036.0,
Net Cash/Marketcap,,
