Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Depreciation & Amortization,7675000.0,4000000.0,13883000.0,4000000.0,10371000.0,3000000.0,1938000.0,2000000.0,2000000.0
Stock-based compensation,4880000.0,5000000.0,1587000.0,2000000.0,707000.0,1000000.0,964000.0,1000000.0,0000000.0
Operating Cash Flow,89034000.0,,73434000.0,,26904000.0,,19807000.0,,
Capital Expenditure,-4898000.0,,326000.0,,1349000.0,,984000.0,,
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,
Investment purchases and sales,72082000.0,-847000000,109170000.0,-102000000,51690000.0,-55000000,34021000.0,-26000000,-86000000
Investing Cash flow,-537964000.0,-538000000.0,-48602000.0,-49000000.0,-119225000.0,-119000000.0,-182256000.0,-182000000.0,-176000000.0
Issuance (repayment) of debt,-0.0,,-58884000.0,,-8684000.0,,-1864000.0,,
Issuance (buybacks) of shares,0.0,,-1253000.0,,-124906000.0,,3668000.0,,
Dividend payments,-1000000.0,,-0.0,,-0.0,,-0.0,,
Financing Cash Flow,200604000.0,201000000.0,239269000.0,239000000.0,148304000.0,148000000.0,196615000.0,197000000.0,18000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,
Net cash flow / Change in cash,-248326000.0,-248000000.0,389007000.0,264000000.0,124906000.0,56000000.0,68923000.0,34000000.0,-144000000.0
Free Cash Flow,93932000.0,,73108000.0,,25555000.0,,18823000.0,,
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,
