Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12
Revenue,1.36819e+11,136819000000.0,1.10855e+11,110855000000.0,90272000000.0,90272000000.0,74989000000.0,74989000000.0,66001000000.0
Revenue Growth,0,0.23421586757476,0,0.228010900389933,0,0.203803224472923,0,0.136179754852199,
Cost of Revenue,64620000000.0,59549000000.0,48319000000.0,45583000000.0,35138000000.0,35138000000.0,28164000000.0,28164000000.0,25691000000.0
Gross Profit,72199000000.0,77270000000.0,62536000000.0,65272000000.0,55134000000.0,55134000000.0,46825000000.0,46825000000.0,40310000000.0
R&D Expenses,21419000000.0,21419000000.0,16625000000.0,16625000000.0,13948000000.0,13948000000.0,12282000000.0,12282000000.0,9832000000.0
SG&A Expense,24459000000.0,24459000000.0,19765000000.0,19765000000.0,17470000000.0,17470000000.0,15183000000.0,15183000000.0,13982000000.0
Operating Expenses,45878000000.0,45878000000.0,36390000000.0,36390000000.0,31418000000.0,31418000000.0,27465000000.0,27465000000.0,23814000000.0
Operating Income,26321000000.0,31392000000.0,26146000000.0,28882000000.0,23716000000.0,23716000000.0,19360000000.0,19360000000.0,16496000000.0
Interest Expense,114000000.0,114000000.0,109000000.0,109000000.0,124000000.0,124000000.0,104000000.0,104000000.0,101000000.0
Earnings before Tax,34913000000.0,34913000000.0,27193000000.0,27193000000.0,24150000000.0,24150000000.0,19651000000.0,19651000000.0,17259000000.0
Income Tax Expense,4177000000.0,4177000000.0,14531000000.0,14531000000.0,4672000000.0,4672000000.0,3303000000.0,3303000000.0,3331000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,
Net Income,30736000000.0,30736000000.0,12662000000.0,12662000000.0,19478000000.0,19478000000.0,16348000000.0,16348000000.0,14444000000.0
Preferred Dividends,0.0,,0.0,,0.0,,522000000.0,,
Net Income Com,30736000000.0,30736000000.0,12662000000.0,12662000000.0,19478000000.0,19478000000.0,16348000000.0,16348000000.0,14444000000.0
EPS,44.22,44.22,18.27,18.27,28.32,28.32,24.63,23.11,21.37
EPS Diluted,43.7,43.70,18.0,18.00,27.85,27.85,24.34,22.84,21.02
Weighted Average Shs Out,349728000.0,695000000.0,348151000.0,693000000.0,344702000.0,688000000.0,343241000.0,685000000.0,676000000.0
Weighted Average Shs Out (Dil),357184000.0,750000000.0,357642000.0,704000000.0,353575000.0,699000000.0,349150000.0,693000000.0,687000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.134612630674,,
Gross Margin,0.527697176562,0.56476074229456,0.564124306527,0.58880519597673,0.61075416519,0.61075416518965,0.624424915654,0.6244249156543,0.61074832199512
EBITDA Margin,0.258414401509,0.32204591467559,0.298236434983,0.30866447160705,0.330778092875,0.33695941155619,0.325687767539,0.33095520676366,0.33846456871866
EBIT Margin,0.192378251559,0.25600976472566,0.235857651888,0.24628568851202,0.262717121588,0.26889844026941,0.258171198442,0.26343863766686,0.27084438114574
Profit Margin,0.224647161578,0.22464716157844,0.114221280051,0.11422128005052,0.21577011698,0.21577011697979,0.218005307445,0.21800530744509,0.21884516901259
Free Cash Flow margin,0.155979798127,,0.213071128952,,0.275146224743,,0.211671045087,,
EBITDA,35356000000.0,44062000000.0,33061000000.0,34217000000.0,29860000000.0,30418000000.0,24423000000.0,24818000000.0,22339000000.0
EBIT,26321000000.0,35027000000,26146000000.0,27302000000,23716000000.0,24274000000,19360000000.0,19755000000,17876000000
Consolidated Income,30736000000.0,30736000000.0,12662000000.0,12662000000.0,19478000000.0,19478000000.0,16348000000.0,16348000000.0,14444000000.0
Earnings Before Tax Margin,0.255176547117,0.25517654711699,0.245302422083,0.2453024220829,0.267524813896,0.26752481389578,0.262051767593,0.26205176759258,0.26149603793882
Net Profit Margin,0.224647161578,0.22464716157844,0.114221280051,0.11422128005052,0.21577011698,0.21577011697979,0.218005307445,0.21800530744509,0.21884516901259
