Date,2018-12-31,2017-12-31
Revenue,104382000.0,76856000.0
Revenue Growth,0.358150307067763,
Cost of Revenue,50752000.0,32334000.0
Gross Profit,53630000.0,44522000.0
R&D Expenses,0.0,0.0
SG&A Expense,67430000.0,54863000.0
Operating Expenses,67360000.0,54877000.0
Operating Income,-13730000.0,-10355000.0
Interest Expense,54680000.0,79827000.0
Earnings before Tax,-74246000.0,-91085000.0
Income Tax Expense,0.0,0.0
Net Income - Non-Controlling int,5837000.0,903000.0
Net Income - Discontinued ops,0.0,0.0
Net Income,-74246000.0,-91085000.0
Preferred Dividends,61626000.0,30203000.0
Net Income Com,-135872000.0,-121288000.0
EPS,-6.74,-6.02
EPS Diluted,-6.74,-6.02
Weighted Average Shs Out,86762677.0,87000000.0
Weighted Average Shs Out (Dil),20144275.0,20140638.0
Dividend per Share,0.0,0.0
Gross Margin,0.5138,0.5793
EBITDA Margin,0.19,0.239
EBIT Margin,-0.1874,-0.1465
Profit Margin,-1.302,-1.578
Free Cash Flow margin,-2.531,-3.7674
EBITDA,19857000.0,18357000.0
EBIT,-19566000.0,-11258000.0
Consolidated Income,-68409000.0,-90182000.0
Earnings Before Tax Margin,-0.7113,-1.1851
Net Profit Margin,-0.7113,-1.1851
