Date,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06,2007-06
Revenue,0.0,,0.0,,0.0,,,
Revenue Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,,
Gross Profit,0.0,,0.0,,0.0,,,
R&D Expenses,0.0,,0.0,,0.0,,,
SG&A Expense,4773321.0,,4479207.0,,4255652.0,,,
Operating Expenses,4773321.0,,4479207.0,,4255652.0,,,
Operating Income,1915869.0,,1545564.0,,1992540.0,,,
Interest Expense,1140074.0,,1044687.0,,1174935.0,,,
Earnings before Tax,1915869.0,,1545564.0,,1992540.0,,,
Income Tax Expense,680824.0,,490806.0,,710224.0,,,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,,
Net Income,1235045.0,1000000.0,1054758.0,1000000.0,1282316.0,1000000.0,1000000.0,-1000000.0
Preferred Dividends,0.0,,0.0,,0.0,,,
Net Income Com,1235045.0,1000000.0,1054758.0,1000000.0,1282316.0,1000000.0,1000000.0,-1000000.0
EPS,0.37,0.37,0.32,0.32,0.42,0.42,0.32,-0.44
EPS Diluted,0.35,0.35,0.32,0.32,0.41,0.41,0.31,-0.44
Weighted Average Shs Out,3299269.0,3000000.0,3264979.0,3000000.0,3075606.0,3000000.0,3000000.0,3000000.0
Weighted Average Shs Out (Dil),3499558.0,3000000.0,3291517.0,3000000.0,3099616.0,3000000.0,3000000.0,3000000.0
Dividend per Share,0.0,,0.0,,0.0,,,
Gross Margin,0.0,,0.0,,0.0,,,
EBITDA Margin,0.0,,0.0,,0.0,,,
EBIT Margin,0.0,,0.0,,0.0,,,
Profit Margin,0.0,,0.0,,0.0,,,
Free Cash Flow margin,0.0,,0.0,,0.0,,,
EBITDA,1740428.0,,1392548.0,,2050521.0,,,
EBIT,1915869.0,1000000,1545564.0,1000000,1992540.0,1000000,1000000,-1000000
Consolidated Income,1235045.0,1000000.0,1054758.0,1000000.0,1282316.0,1000000.0,1000000.0,-1000000.0
Earnings Before Tax Margin,0.0,,0.0,,0.0,,,
Net Profit Margin,0.0,,0.0,,0.0,,,
