Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,0.0,0.0,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0
R&D Expenses,10988000.0,29475000.0,34795000.0,4680940.0,0.0
SG&A Expense,7635000.0,8542000.0,4912000.0,3577180.0,1096116.0
Operating Expenses,18623000.0,38017000.0,39624000.0,8253093.0,736056.0
Operating Income,-18623000.0,-38017000.0,-39624000.0,-8253093.0,-736056.0
Interest Expense,2160000.0,275000.0,383000.0,268216.0,449036.0
Earnings before Tax,-13976000.0,-44788000.0,-40324000.0,-8515925.0,-1185014.0
Income Tax Expense,9000.0,22000.0,0.0,774.0,876.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-13985000.0,-44810000.0,-40324000.0,-8516699.0,-1185890.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,-13985000.0,-44810000.0,-40324000.0,-8516699.0,-1185890.0
EPS,-0.05,-0.19,-0.35,-0.14,-0.03
EPS Diluted,-0.07,-0.19,-0.35,-0.14,-0.03
Weighted Average Shs Out,263519128.0,195741528.0,167010496.0,167010496.0,
Weighted Average Shs Out (Dil),284530534.0,231530091.0,116558191.0,61225922.0,36726342.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0
EBITDA Margin,,,,,
EBIT Margin,0.0,0.0,0.0,0.0,0.0
Profit Margin,,,,,
Free Cash Flow margin,0.0,0.0,0.0,0.0,0.0
EBITDA,-11816000.0,-44513000.0,-39941000.0,-8247709.0,-735978.0
EBIT,-11816000.0,-44513000.0,-39941000.0,-8247709.0,-735978.0
Consolidated Income,-13985000.0,-44810000.0,-40324000.0,-8516699.0,-1185890.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,0.0,0.0,0.0
