Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-05,2010-05,2009-05,2008-05,2007-05
Revenue,1650000000.0,1915000000.0,1988635000.0,1973068000.0,2086985000.0,984315000.0,1520000000.0,1419000000.0,1460000000.0,1886000000.0,1930000000.0
Revenue Growth,-0.138381201044386,-0.0370279111048533,0.00788974328304955,-0.0545844843158911,1.12024097976766,-0.352424342105263,0.0711768851303735,-0.0280821917808219,-0.225874867444327,-0.0227979274611399,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,482000000.0,484000000.0,544000000.0,672000000.0,758000000.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,1038000000.0,935000000.0,916000000.0,1214000000.0,1172000000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,6700000.0,279000000.0,273000000.0,306000000.0,363000000.0,364000000.0
SG&A Expense,733000000.0,831000000.0,925011000.0,682502000.0,679637000.0,358455000.0,282000000.0,317000000.0,283000000.0,316000000.0,311000000.0
Operating Expenses,1475000000.0,1644000000.0,1687579000.0,1357691000.0,1402278000.0,582045000.0,561000000.0,589000000.0,586000000.0,678000000.0,672000000.0
Operating Income,44000000.0,29000000.0,54175000.0,285884000.0,346254000.0,276583000.0,477000000.0,346000000.0,330000000.0,536000000.0,500000000.0
Interest Expense,731000000.0,665000000.0,605223000.0,516387000.0,538805000.0,197308000.0,55000000.0,60000000.0,73000000.0,000000.0,000000.0
Earnings before Tax,44000000.0,29000000.0,54175000.0,285884000.0,346254000.0,276583000.0,403000000.0,269000000.0,114000000.0,451000000.0,531000000.0
Income Tax Expense,13000000.0,13000000.0,11012000.0,64860000.0,129200000.0,71296000.0,104000000.0,59000000.0,40000000.0,119000000.0,155000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,30000000.0,19000000.0,38779000.0,220718000.0,217054000.0,205287000.0,299000000.0,209000000.0,73000000.0,332000000.0,375000000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income Com,30000000.0,19000000.0,38779000.0,220718000.0,217054000.0,205287000.0,299000000.0,209000000.0,73000000.0,332000000.0,375000000.0
EPS,0.31,0.19,0.38,2.47,2.43,2.41,1.24,0.88,0.32,1.31,1.17
EPS Diluted,0.3,0.19,0.37,2.45,2.4,2.4,1.20,0.87,0.31,1.26,1.12
Weighted Average Shs Out,97696000.0,99765000.0,103248000.0,89521000.0,89415000.0,85328000.0,242000000.0,236000000.0,229000000.0,253000000.0,320000000.0
Weighted Average Shs Out (Dil),98803000.0,100645000.0,103780000.0,90020000.0,90268000.0,85524000.0,248000000.0,241000000.0,235000000.0,264000000.0,334000000.0
Dividend per Share,0.0506057508375,0.0,0.0,0.0,0.0,0.0,,,,,
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0,0.68289473684211,0.65891472868217,0.62739726027397,0.64369034994698,0.60725388601036
EBITDA Margin,0.0127272727273,0.0146214099217,0.0600125211514,0.158494284029,0.178663957815,0.327352524344,0.35394736842105,0.29809725158562,0.20958904109589,0.35471898197243,0.33419689119171
EBIT Margin,0.0266666666667,0.0151436031332,0.0272423043947,0.144893130901,0.165911111005,0.280990333379,0.30131578947368,0.23114869626498,0.12739726027397,0.23913043478261,0.27461139896373
Profit Margin,0.0181818181818,0.00992167101828,0.0195003105145,0.111865379196,0.104003622451,0.208558235931,0.19671052631579,0.14728682170543,0.05,0.17603393425239,0.19430051813472
Free Cash Flow margin,0.667878787879,0.507049608355,0.210106932645,0.536542582415,-0.878751404538,-1.98931846005,,,,,
EBITDA,21000000.0,28000000.0,119343000.0,312720000.0,372869000.0,322218000.0,538000000.0,423000000.0,306000000.0,669000000.0,645000000.0
EBIT,44000000.0,29000000.0,54175000.0,285884000.0,346254000.0,276583000.0,458000000,328000000,186000000,451000000,530000000
Consolidated Income,30000000.0,19000000.0,38779000.0,220718000.0,217054000.0,205287000.0,299000000.0,209000000.0,73000000.0,332000000.0,375000000.0
Earnings Before Tax Margin,0.0266666666667,0.0151436031332,0.0272423043947,0.144893130901,0.165911111005,0.280990333379,0.26513157894737,0.18957011980268,0.078082191780822,0.23913043478261,0.27512953367876
Net Profit Margin,0.0181818181818,0.00992167101828,0.0195003105145,0.111865379196,0.104003622451,0.208558235931,0.19671052631579,0.14728682170543,0.05,0.17603393425239,0.19430051813472
