Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Depreciation & Amortization,440000.0,1000000.0,250000.0,1000000.0,459000.0,1000000.0,262000.0,1000000.0,427000.0,1000000.0
Stock-based compensation,196000.0,0000000.0,126000.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0
Operating Cash Flow,18614000.0,,5385000.0,,-2894000.0,,-804000.0,,6098000.0,
Capital Expenditure,1871000.0,,1345000.0,,801000.0,,10749000.0,,4259000.0,
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Investment purchases and sales,-333000.0,0,-6165000.0,0,-1455000.0,0,0.0,0,0.0,0
Investing Cash flow,-98385000.0,-98000000.0,-52429000.0,-52000000.0,-89586000.0,-90000000.0,-68549000.0,-69000000.0,-38777000.0,-39000000.0
Issuance (repayment) of debt,-60425000.0,,-4000000.0,,-1300000.0,,-700000.0,,-1343000.0,
Issuance (buybacks) of shares,-333000.0,,-6165000.0,,-1455000.0,,-14582000.0,,-51519000.0,
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Financing Cash Flow,89682000.0,90000000.0,73380000.0,73000000.0,96220000.0,96000000.0,32416000.0,32000000.0,77178000.0,77000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,9911000.0,10000000.0,44658000.0,26000000.0,18322000.0,4000000.0,14582000.0,-37000000.0,51519000.0,44000000.0
Free Cash Flow,16743000.0,,4040000.0,,-3695000.0,,-11553000.0,,1839000.0,
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,
