Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2007-12,2006-12,2005-12,2004-12,2003-12
Revenue,46510000.0,42097000.0,39912000.0,30319000.0,34494000.0,33863000.0,29095000.0,352000000.0,336000000.0,179000000.0,294000000.0,327000000.0
Revenue Growth,0.104829322754591,0.0547454399679294,0.316402256011082,-0.121035542413173,0.0186339072143638,0.163876954803231,-0.91734375,0.0476190476190476,0.877094972067039,-0.391156462585034,-0.100917431192661,
Cost of Revenue,13553000.0,13788000.0,10676000.0,9399000.0,11039000.0,13321000.0,13507000.0,108000000.0,110000000.0,73000000.0,170000000.0,191000000.0
Gross Profit,33000000.0,28300000.0,29200000.0,20900000.0,23400000.0,20500000.0,15588000.0,245000000.0,226000000.0,106000000.0,125000000.0,136000000.0
R&D Expenses,13295000.0,12502000.0,13891000.0,5000000.0,0.0,0.0,0.0,,,,,
SG&A Expense,12514000.0,13524000.0,13035000.0,11162000.0,12218000.0,10563000.0,12531000.0,175000000.0,159000000.0,95000000.0,96000000.0,102000000.0
Operating Expenses,58750000.0,60911000.0,54968000.0,43314000.0,45251000.0,48911000.0,45664000.0,187000000.0,170000000.0,98000000.0,98000000.0,111000000.0
Operating Income,-12240000.0,-18814000.0,-15056000.0,-12995000.0,-10757000.0,-15048000.0,-16569000.0,58000000.0,56000000.0,8000000.0,26000000.0,25000000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Earnings before Tax,-16426000.0,-20927000.0,-15643000.0,-14209000.0,-11416000.0,-15432000.0,-16444000.0,36000000.0,31000000.0,7000000.0,-6000000.0,13000000.0
Income Tax Expense,-106000.0,50000.0,38000.0,23000.0,-244000.0,38000.0,-5884000.0,15000000.0,13000000.0,3000000.0,-2000000.0,5000000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Income,-16320000.0,-20977000.0,-15681000.0,-14232000.0,-11172000.0,-15221000.0,18360000.0,21000000.0,53000000.0,14000000.0,27000000.0,7000000.0
Preferred Dividends,584000.0,586000.0,588000.0,589000.0,589000.0,591000.0,1252000.0,,,,,
Net Income Com,-16320000.0,-20977000.0,-15681000.0,-14232000.0,-11172000.0,-15221000.0,18360000.0,21000000.0,53000000.0,14000000.0,27000000.0,7000000.0
EPS,-0.56,-0.86,-0.7,-0.74,-0.7,-0.99,0.74,1.00,2.51,0.74,1.74,0.48
EPS Diluted,-0.56,-0.86,-0.7,-0.74,-0.7,-0.99,0.74,0.98,2.43,0.70,1.74,0.47
Weighted Average Shs Out,30451000.0,25209000.0,23264000.0,19923000.0,16722000.0,16002.0,14225000.0,21000000.0,21000000.0,19000000.0,16000000.0,15000000.0
Weighted Average Shs Out (Dil),30451000.0,25209000.0,23264000.0,19923000.0,16722000.0,16002.0,14225000.0,22000000.0,22000000.0,20000000.0,16000000.0,16000000.0
Dividend per Share,0.105086860858,0.000396683724067,0.0902682255846,0.075289865984,0.05382131324,37.1828521435,0.156133567663,,,,,
Gross Margin,0.709524833369,0.672256930423,0.73160954099,0.689336719549,0.678378848495,0.605380503795,0.535762158446,0.69602272727273,0.67261904761905,0.59217877094972,0.42517006802721,0.41590214067278
EBITDA Margin,-0.126703934638,-0.305674988717,-0.253407496492,-0.325439493387,-0.209920565896,-0.341021173552,-0.452792576044,0.22443181818182,0.22916666666667,0.078212290502793,0.10884353741497,0.10091743119266
EBIT Margin,-0.263169210922,-0.446920208091,-0.377229905793,-0.428609122992,-0.311851336464,-0.444378820542,-0.569479291975,0.10227272727273,0.19642857142857,0.094972067039106,0.085034013605442,0.036697247706422
Profit Margin,-0.35089228123,-0.498301541678,-0.392889356584,-0.469408621656,-0.323882414333,-0.449487641378,0.631036260526,0.059659090909091,0.1577380952381,0.078212290502793,0.091836734693878,0.021406727828746
Free Cash Flow margin,-0.118770156955,-0.422262869088,-0.160077169774,-0.228701474323,0.0449353510755,-0.324602073059,-0.560096236467,,,,,
EBITDA,-5893000.0,-12868000.0,-10114000.0,-9867000.0,-7241000.0,-11548000.0,-13174000.0,79000000.0,77000000.0,14000000.0,32000000.0,33000000.0
EBIT,-12240000.0,-18814000.0,-15056000.0,-12995000.0,-10757000.0,-15048000.0,-16569000.0,36000000,66000000,17000000,25000000,12000000
Consolidated Income,-16320000.0,-20977000.0,-15681000.0,-14232000.0,-11172000.0,-15221000.0,18360000.0,21000000.0,53000000.0,14000000.0,27000000.0,7000000.0
Earnings Before Tax Margin,-0.353171360998,-0.497113808585,-0.391937261976,-0.468650021439,-0.330956108309,-0.455718630954,-0.565183021138,0.10227272727273,0.092261904761905,0.039106145251397,-0.020408163265306,0.039755351681957
Net Profit Margin,-0.35089228123,-0.498301541678,-0.392889356584,-0.469408621656,-0.323882414333,-0.449487641378,0.631036260526,0.059659090909091,0.1577380952381,0.078212290502793,0.091836734693878,0.021406727828746
