Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,4903019.0,7824109.0,414405.0,1001000.0
Short-term investments,250000.0,6246850.0,0.0,0.0
Cash and short-term investments,5153019.0,14070959.0,414405.0,1001000.0
Receivables,17887.0,500.0,583.0,8000.0
Inventories,1703573.0,194525.0,26825.0,0.0
Total current assets,8233236.0,14667144.0,470020.0,1035000.0
Property Plant & Equipment Net,5809774.0,2434026.0,8805.0,17000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,3027106.0,485000.0,0.0,
Total non-current assets,5851762.0,2434026.0,48805.0,
Total assets,14084998.0,17101170.0,518825.0,1052000.0
Payables,717151.0,663773.0,81045.0,9229.0
Short-term debt,2677076.0,75000.0,250000.0,0.0
Total current liabilities,4479069.0,1319498.0,819856.0,275000.0
Long-term debt,1513595.0,75000.0,325000.0,0.0
Total debt,4190671.0,150000.0,575000.0,
Deferred revenue,370624.0,231967.0,0.0,
Tax Liabilities,0.0,0.0,0.0,
Deposit Liabilities,454624.0,399967.0,386035.0,
Total non-current liabilities,1538795.0,75000.0,325000.0,
Total liabilities,6017864.0,1319498.0,1144856.0,275000.0
Other comprehensive income,930869,519340,0.0,
Retained earnings (deficit),-22966473.0,-11915458.0,-8600131.0,-6681000.0
Total shareholders equity,8067134.0,15781672.0,-626031.0,-2588000.0
Investments,250000.0,6246850.0,0.0,-6246850.0
Net Debt,-712348.0,-7674109.0,160595.0,
Other Assets,0.0,0.0,28207.0,
Other Liabilities,0.0,0.0,488811.0,265771.0
