Date,2018-08-31,2017-08-31
Depreciation & Amortization,1675000.0,1370000.0
Stock-based compensation,105000.0,0.0
Operating Cash Flow,5243000.0,2936000.0
Capital Expenditure,-6587000.0,-6021000.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,12000.0,0.0
Investing Cash flow,-6590000.0,-6042000.0
Issuance (repayment) of debt,-824000.0,-405000.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,4176000.0,4595000.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,2829000.0,1489000.0
Free Cash Flow,-1344000.0,-3085000.0
Net Cash/Marketcap,-0.0022,-0.0022
