Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,15299000.0,12101000.0,28552000.0,11000000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,15299000.0,12101000.0,28552000.0,11000000.0
Receivables,276043000.0,280023000.0,314531000.0,163000000.0
Inventories,165989000.0,184436000.0,157991000.0,72000000.0
Total current assets,523856000.0,548658000.0,513590000.0,250000000.0
Property Plant & Equipment Net,151641000.0,151408000.0,144387000.0,66000000.0
Goodwill and Intangible Assets,630817000.0,648507000.0,653316000.0,289086000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,864000.0,0.0,
Total non-current assets,792851000.0,805519000.0,807395000.0,
Total assets,1316707000.0,1354177000.0,1320985000.0,763000000.0
Payables,137773000.0,156345000.0,119788000.0,59000000.0
Short-term debt,4500000.0,41093000.0,0.0,1492000.0
Total current liabilities,219616000.0,242278000.0,205508000.0,157000000.0
Long-term debt,437999000.0,534379000.0,733956000.0,300000000.0
Total debt,442499000.0,575472000.0,733956000.0,
Deferred revenue,0.0,0.0,0.0,
Tax Liabilities,11867000.0,7790000.0,36018000.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,466794000.0,565837000.0,786961000.0,
Total liabilities,950358000.0,975513000.0,992469000.0,473000000.0
Other comprehensive income,332330000,330113000,-3000.0,
Retained earnings (deficit),34187000.0,46184000.0,-36296000.0,-8000000.0
Total shareholders equity,366349000.0,378664000.0,328516000.0,291000000.0
Investments,0.0,0.0,0.0,0.0
Net Debt,427200000.0,563371000.0,705404000.0,290492000.0
Other Assets,0.0,0.0,12516000.0,4498000.0
Other Liabilities,263948000.0,167398000.0,85720000.0,96508000.0
