Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-1113774.0,-1113774.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,-412949750.0,
Investing Cash flow,-412949750.0,-412949750.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,414000000.0,150000.0
Dividend payments,0.0,0.0
Financing Cash Flow,414773418.0,150000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,709894.0,
Free Cash Flow,-1113774.0,
Net Cash/Marketcap,0.0014,
