Date,2019-10-31,2018-10-31,2017-10-31,2016-10-31,2015-10-31,2014-10-31,2013-10-31,2013-01-31,2012-10-31,2011-10-31,2010-10-31,2009-10-31
Revenue,1054707000.0,1139944000.0,1041986000.0,1065834000.0,1109195000.0,878744000.0,700186000.0,0.0,586074000.0,517743000.0,457272000.0,269381000.0
Revenue Growth,-0.0747729713038535,0.094010860030749,-0.0223749664581914,-0.0390923146966944,0.262250439263312,0.25501509598878,0.0,-1,0.131978607146789,0.132242953865533,0.697491656798364,-0.4697
Cost of Revenue,964131000.0,1023849000.0,927853000.0,969658000.0,1022109000.0,799143000.0,628491000.0,0.0,535339000.0,478807000.0,422610000.0,274514000.0
Gross Profit,90576000.0,116095000.0,114133000.0,96176000.0,87086000.0,79601000.0,71695000.0,0.0,50735000.0,38936000.0,34662000.0,-5133000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,71312000.0,88604000.0,83142000.0,73417000.0,63028000.0,50207000.0,37073000.0,0.0,27519000.0,23658000.0,19916000.0,16429000.0
Operating Expenses,71312000.0,88604000.0,83142000.0,73417000.0,63028000.0,50207000.0,37073000.0,0.0,27519000.0,23658000.0,24752000.0,18054000.0
Operating Income,-5584000.0,18506000.0,23714000.0,18470000.0,21763000.0,31165000.0,34604000.0,0.0,24080000.0,14832000.0,9910000.0,-23187000.0
Interest Expense,16258000.0,11343000.0,15088000.0,18086000.0,9898000.0,4503000.0,2600000.0,0.0,1525000.0,1714000.0,3757000.0,3320000.0
Earnings before Tax,-20558000.0,6260000.0,6423000.0,-1483000.0,11514000.0,28200000.0,32175000.0,0.0,22507000.0,13081000.0,5902000.0,-26478000.0
Income Tax Expense,-611000.0,-5219000.0,7120000.0,-5152000.0,3250000.0,4747000.0,10605000.0,0.0,8981000.0,5236000.0,2041000.0,-8694000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-19947000.0,11479000.0,-697000.0,3669000.0,8264000.0,22444000.0,21570000.0,0.0,13526000.0,7845000.0,3861000.0,-17784000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-19947000.0,11479000.0,-697000.0,3669000.0,8264000.0,22444000.0,21570000.0,0.0,13526000.0,7845000.0,3861000.0,-17784000.0
EPS,-0.85,0.49,-0.04,0.21,0.48,1.31,1.27,0.0,0.8,0.47,0.23,-1.09
EPS Diluted,-0.85,0.49,-0.04,0.21,0.48,1.3,1.27,0.0,0.8,0.47,0.23,-1.09
Weighted Average Shs Out,23506000.0,23229000.0,19233000.0,17513000.0,17287000.0,17145000.0,16982000.0,0.0,16813000.0,16716000.0,16534862.0,16355867.0
Weighted Average Shs Out (Dil),23506000.0,23369000.0,19233000.0,17526000.0,17310000.0,17215000.0,17030000.0,0.0,16904000.0,16859000.0,16532000.0,16375000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.24932472108,0.0,0.498225272125,0.118868260276,0.0,0.0
Gross Margin,0.0858778788801,0.101842722099,0.109534101226,0.0902354400404,0.0785127953155,0.0905849712772,0.102394220964,0.0,0.086567566553,0.0752033344729,0.0758,-0.0191
EBITDA Margin,0.0404946587062,0.0574396637028,0.0657177735593,0.0549991837378,0.0513597699232,0.0681256429631,0.107612834304,0.0,0.0737074157871,0.0728392271841,0.078,0.024
EBIT Margin,-0.0052943613724,0.0162341307994,0.0227584631655,0.0173291525697,0.0196205356137,0.0354653915133,0.0494211538077,0.0,0.0410869617147,0.0286474177343,0.0211,-0.086
Profit Margin,-0.0189123614426,0.0100697929021,-0.000668914937437,0.00344237470375,0.00745044829809,0.0255409994265,0.0308061000934,0.0,0.0230789968502,0.0151523052943,0.008,-0.066
Free Cash Flow margin,0.0296252892984,0.0466917673149,0.0732399475617,0.0650767380286,0.0031563431137,0.0336650947261,0.0554324136729,0.0,0.0352873527916,0.0397127532386,0.0554,0.0495
EBITDA,42710000.0,65478000.0,68477000.0,58620000.0,56968000.0,59865000.0,75349000.0,0.0,43198000.0,37712000.0,35879000.0,6333000.0
EBIT,-5584000.0,18506000.0,23714000.0,18470000.0,21763000.0,31165000.0,34604000.0,0.0,24080000.0,14832000.0,9659000.0,-23158000.0
Consolidated Income,-19947000.0,11479000.0,-697000.0,3669000.0,8264000.0,22444000.0,21570000.0,0.0,13526000.0,7845000.0,3861000.0,-17784000.0
Earnings Before Tax Margin,-0.0194916692503,0.00549149782796,0.00616419030582,-0.00139139866058,0.0103805011743,0.0320912575221,0.0459520755913,0.0,0.0384030003037,0.0252654309184,0.0129,-0.0983
Net Profit Margin,-0.0189123614426,0.0100697929021,-0.000668914937437,0.00344237470375,0.00745044829809,0.0255409994265,0.0308061000934,0.0,0.0230789968502,0.0151523052943,0.0084,-0.066
