Date,2018-12-31,2017-12-31
Depreciation & Amortization,54860.0,2000.0
Stock-based compensation,1610626.0,
Operating Cash Flow,-14010712.0,-987000.0
Capital Expenditure,-626660.0,-108000.0
Acquisitions and disposals,0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-626660.0,-108000.0
Issuance (repayment) of debt,0.0,
Issuance (buybacks) of shares,0.0,
Dividend payments,0.0,
Financing Cash Flow,64907028.0,13931000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,50269656.0,12836000.0
Free Cash Flow,-14637372.0,
Net Cash/Marketcap,0.1982,0.1982
