Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,13612000.0,15340000.0,15000000.0,14520000.0,14000000.0,9862000.0,10000000.0,7280000.0,7000000.0,5787000.0,6000000.0,5735000.0,5891000.0
Stock-based compensation,573000.0,831000.0,1000000.0,1262000.0,1000000.0,1363000.0,1000000.0,856000.0,1000000.0,584000.0,1000000.0,398000.0,531000.0
Operating Cash Flow,-1628000.0,5900000.0,6000000.0,20887000.0,21000000.0,10294000.0,10000000.0,14744000.0,15000000.0,9460000.0,9000000.0,7336000.0,7676000.0
Capital Expenditure,1700000.0,11840000.0,-12000000.0,41900000.0,-42000000.0,38077000.0,-38000000.0,21855000.0,-22000000.0,14445000.0,-14000000.0,1794000.0,1492000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,-3572000.0,0,-11200000.0,0,-227000.0,0,0.0,0,-203000.0,0,-5536000.0,-2423000.0
Investing Cash flow,-1576000.0,-11715000.0,-12000000.0,-42033000.0,-42000000.0,-38215000.0,-38000000.0,-21858000.0,-22000000.0,-14536000.0,-15000000.0,-1760000.0,-1538000.0
Issuance (repayment) of debt,-844000.0,-750000.0,-2000000.0,-188000.0,-3000000.0,-0.0,000000.0,-3500000.0,-4000000.0,-370000.0,-0000000.0,-262000.0,-0.0
Issuance (buybacks) of shares,-2568000.0,-3572000.0,-4000000.0,-11200000.0,-11000000.0,-227000.0,-0000000.0,4301000.0,000000.0,-203000.0,-0000000.0,-5536000.0,-2423000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,730000.0,7381000.0,7000000.0,15567000.0,16000000.0,398000.0,0000000.0,37811000.0,38000000.0,2968000.0,3000000.0,-3914000.0,-2366000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-2474000.0,1566000.0,2000000.0,-5579000.0,-6000000.0,-27523000.0,-28000000.0,30697000.0,31000000.0,-2108000.0,-2000000.0,1662000.0,3772000.0
Free Cash Flow,-3328000.0,-5940000.0,-6000000.0,-21013000.0,-21000000.0,-27783000.0,-28000000.0,-7111000.0,-7000000.0,-4985000.0,-5000000.0,5542000.0,6184000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
